2016/6/13 - 21:9:8 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
227, 198, 202, 201, 203, 204, 203, 201, 203, 237, 208, 201, 201, 204, 202, 199, 203, 1, 2522, 2016/6/13 - 21:9:11
226, 196, 201, 200, 202, 203, 202, 199, 202, 236, 207, 199, 200, 203, 201, 197, 202, 1, 627, 2016/6/13 - 21:9:12
226, 198, 202, 200, 203, 204, 203, 200, 203, 238, 207, 200, 200, 204, 202, 198, 203, 1, 422, 2016/6/13 - 21:9:12
227, 198, 202, 200, 203, 204, 203, 200, 203, 237, 208, 200, 200, 204, 202, 198, 203, 1, 221, 2016/6/13 - 21:9:13
227, 199, 203, 201, 204, 204, 204, 201, 204, 238, 209, 201, 201, 205, 203, 199, 204, 1, 216, 2016/6/13 - 21:9:13
226, 198, 202, 200, 203, 203, 204, 201, 204, 238, 208, 200, 201, 204, 202, 198, 203, 1, 212, 2016/6/13 - 21:9:13
227, 198, 202, 200, 203, 203, 204, 201, 204, 238, 207, 200, 201, 204, 202, 198, 203, 0, 217, 2016/6/13 - 21:9:13
226, 197, 202, 200, 202, 203, 203, 199, 202, 237, 207, 199, 200, 203, 202, 198, 202, 1, 419, 2016/6/13 - 21:9:14
226, 197, 201, 200, 202, 203, 203, 199, 202, 233, 207, 199, 200, 220, 201, 198, 202, 1, 1438, 2016/6/13 - 21:9:15
226, 197, 202, 200, 202, 203, 203, 199, 203, 231, 207, 199, 200, 216, 201, 198, 202, 1, 216, 2016/6/13 - 21:9:15
226, 197, 202, 200, 203, 203, 203, 200, 203, 229, 207, 199, 200, 208, 201, 198, 202, 1, 215, 2016/6/13 - 21:9:16
226, 197, 201, 200, 202, 202, 203, 199, 202, 230, 207, 199, 200, 203, 201, 198, 202, 1, 418, 2016/6/13 - 21:9:16
226, 196, 201, 199, 202, 202, 203, 200, 202, 233, 207, 199, 200, 205, 201, 197, 202, 1, 420, 2016/6/13 - 21:9:16
226, 196, 201, 199, 202, 202, 203, 199, 202, 233, 207, 199, 200, 205, 202, 197, 202, 1, 217, 2016/6/13 - 21:9:17
227, 197, 202, 200, 203, 202, 203, 200, 203, 235, 207, 200, 201, 206, 203, 198, 202, 1, 216, 2016/6/13 - 21:9:17
227, 198, 203, 201, 204, 202, 204, 200, 204, 235, 208, 201, 201, 206, 203, 199, 203, 1, 213, 2016/6/13 - 21:9:17
227, 198, 203, 201, 203, 202, 203, 200, 203, 235, 208, 201, 201, 206, 203, 199, 203, 1, 216, 2016/6/13 - 21:9:17
226, 197, 201, 200, 203, 202, 203, 200, 203, 235, 207, 199, 200, 205, 202, 198, 202, 1, 623, 2016/6/13 - 21:9:18
227, 197, 201, 200, 202, 202, 202, 199, 203, 234, 207, 199, 200, 205, 201, 198, 202, 1, 628, 2016/6/13 - 21:9:19
226, 197, 201, 200, 202, 202, 203, 199, 203, 233, 207, 199, 200, 205, 202, 198, 203, 1, 215, 2016/6/13 - 21:9:19
226, 196, 201, 200, 202, 202, 203, 200, 202, 232, 207, 199, 200, 204, 202, 198, 202, 1, 210, 2016/6/13 - 21:9:19
226, 197, 201, 200, 202, 202, 203, 200, 202, 232, 207, 199, 199, 205, 201, 198, 201, 1, 215, 2016/6/13 - 21:9:19
226, 198, 201, 200, 202, 202, 202, 199, 203, 233, 207, 199, 199, 209, 201, 198, 201, 1, 212, 2016/6/13 - 21:9:19
226, 197, 202, 201, 203, 202, 203, 199, 203, 235, 207, 199, 200, 207, 201, 198, 202, 1, 210, 2016/6/13 - 21:9:20
226, 197, 202, 200, 203, 203, 202, 199, 202, 237, 207, 199, 200, 204, 201, 198, 202, 1, 206, 2016/6/13 - 21:9:20
