2016/6/13 - 21:48:34 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
231, 197, 202, 200, 203, 203, 204, 200, 203, 219, 205, 201, 201, 210, 202, 199, 204, 1, 1960, 2016/6/13 - 21:48:37
231, 197, 202, 201, 203, 204, 204, 200, 203, 219, 206, 202, 202, 210, 202, 199, 204, 1, 216, 2016/6/13 - 21:48:38
231, 198, 203, 201, 203, 204, 204, 201, 203, 220, 205, 202, 202, 211, 202, 199, 204, 1, 834, 2016/6/13 - 21:48:38
231, 198, 202, 201, 203, 203, 203, 200, 203, 219, 205, 202, 202, 211, 202, 199, 204, 1, 427, 2016/6/13 - 21:48:39
231, 197, 202, 201, 203, 203, 203, 200, 203, 219, 205, 202, 201, 210, 202, 199, 204, 1, 216, 2016/6/13 - 21:48:39
231, 197, 203, 201, 204, 203, 204, 201, 202, 220, 206, 202, 201, 210, 202, 199, 204, 1, 217, 2016/6/13 - 21:48:39
231, 198, 203, 201, 203, 203, 204, 200, 203, 220, 206, 202, 201, 211, 202, 199, 204, 1, 627, 2016/6/13 - 21:48:40
231, 198, 203, 201, 203, 204, 203, 200, 203, 220, 206, 202, 201, 211, 203, 199, 204, 1, 213, 2016/6/13 - 21:48:40
231, 198, 203, 201, 204, 204, 204, 201, 203, 220, 206, 202, 202, 211, 202, 199, 204, 1, 212, 2016/6/13 - 21:48:40
231, 198, 202, 201, 203, 203, 204, 201, 203, 220, 206, 202, 202, 211, 203, 200, 205, 1, 213, 2016/6/13 - 21:48:41
231, 198, 203, 201, 203, 203, 204, 201, 203, 220, 206, 202, 202, 211, 202, 199, 204, 1, 216, 2016/6/13 - 21:48:41
231, 198, 203, 201, 203, 203, 204, 200, 203, 220, 205, 202, 201, 211, 203, 199, 204, 1, 626, 2016/6/13 - 21:48:41
231, 198, 203, 201, 204, 203, 204, 200, 203, 219, 206, 202, 201, 211, 202, 199, 204, 1, 212, 2016/6/13 - 21:48:42
231, 198, 202, 201, 204, 203, 203, 201, 203, 220, 206, 201, 202, 211, 202, 199, 203, 1, 417, 2016/6/13 - 21:48:42
231, 198, 202, 201, 203, 203, 204, 201, 203, 220, 206, 202, 202, 210, 202, 199, 203, 1, 214, 2016/6/13 - 21:48:42
231, 198, 202, 201, 204, 203, 204, 201, 203, 219, 206, 202, 202, 211, 202, 199, 204, 1, 212, 2016/6/13 - 21:48:42
231, 198, 203, 201, 203, 204, 204, 201, 203, 220, 206, 202, 201, 211, 203, 200, 204, 1, 419, 2016/6/13 - 21:48:43
231, 198, 202, 201, 203, 204, 204, 200, 203, 220, 206, 202, 202, 211, 202, 199, 204, 1, 214, 2016/6/13 - 21:48:43
231, 197, 202, 201, 203, 204, 204, 200, 203, 219, 206, 202, 202, 211, 203, 200, 204, 1, 215, 2016/6/13 - 21:48:43
231, 198, 202, 200, 204, 203, 203, 201, 203, 219, 205, 202, 201, 211, 202, 199, 203, 1, 213, 2016/6/13 - 21:48:44
231, 198, 202, 200, 203, 203, 203, 200, 203, 218, 205, 201, 201, 211, 202, 199, 204, 1, 1035, 2016/6/13 - 21:48:45
231, 198, 203, 201, 203, 203, 204, 201, 203, 219, 205, 202, 201, 212, 202, 199, 204, 1, 416, 2016/6/13 - 21:48:45
231, 198, 203, 201, 203, 203, 204, 201, 203, 219, 205, 202, 201, 212, 202, 199, 204, 1, 210, 2016/6/13 - 21:48:45
231, 198, 203, 201, 203, 203, 204, 201, 204, 219, 206, 202, 202, 212, 203, 199, 204, 1, 216, 2016/6/13 - 21:48:45
231, 198, 203, 201, 203, 203, 204, 201, 203, 220, 206, 202, 202, 211, 202, 199, 204, 1, 212, 2016/6/13 - 21:48:46
231, 197, 202, 201, 204, 203, 204, 200, 204, 222, 206, 201, 202, 211, 202, 199, 204, 1, 618, 2016/6/13 - 21:48:46
231, 197, 202, 201, 204, 204, 204, 200, 203, 220, 206, 201, 202, 211, 203, 199, 204, 1, 821, 2016/6/13 - 21:48:47
231, 198, 203, 201, 204, 204, 204, 201, 203, 221, 206, 202, 202, 211, 203, 199, 204, 1, 1027, 2016/6/13 - 21:48:48
231, 198, 202, 201, 204, 204, 204, 200, 203, 222, 205, 202, 202, 211, 203, 199, 204, 1, 414, 2016/6/13 - 21:48:49
231, 198, 203, 201, 204, 203, 204, 201, 203, 221, 206, 202, 202, 211, 203, 200, 204, 1, 422, 2016/6/13 - 21:48:49
231, 197, 202, 200, 203, 204, 204, 201, 203, 222, 205, 201, 202, 211, 202, 199, 204, 1, 624, 2016/6/13 - 21:48:50
231, 198, 202, 201, 204, 204, 204, 200, 203, 222, 205, 201, 202, 211, 202, 199, 204, 1, 216, 2016/6/13 - 21:48:50
231, 198, 203, 200, 203, 204, 204, 201, 203, 221, 205, 202, 202, 210, 203, 200, 204, 1, 420, 2016/6/13 - 21:48:50
231, 198, 203, 200, 203, 204, 204, 200, 203, 221, 206, 202, 202, 211, 203, 200, 204, 1, 208, 2016/6/13 - 21:48:50
231, 198, 203, 201, 204, 204, 205, 201, 204, 221, 206, 202, 202, 211, 203, 200, 204, 1, 415, 2016/6/13 - 21:48:51
231, 197, 202, 200, 202, 203, 203, 200, 203, 221, 205, 201, 201, 210, 202, 199, 203, 1, 209, 2016/6/13 - 21:48:51
231, 197, 202, 201, 203, 204, 204, 201, 203, 221, 205, 202, 202, 211, 202, 200, 204, 1, 614, 2016/6/13 - 21:48:52
231, 198, 203, 201, 203, 204, 204, 201, 203, 221, 205, 202, 202, 211, 202, 200, 204, 1, 212, 2016/6/13 - 21:48:52
231, 198, 203, 201, 204, 203, 204, 201, 203, 221, 206, 202, 202, 211, 203, 199, 204, 1, 625, 2016/6/13 - 21:48:52
231, 198, 203, 201, 203, 204, 204, 200, 204, 221, 206, 202, 202, 211, 203, 200, 205, 1, 415, 2016/6/13 - 21:48:53
231, 198, 203, 201, 203, 204, 204, 201, 204, 221, 206, 202, 202, 212, 203, 200, 204, 1, 212, 2016/6/13 - 21:48:53
231, 198, 203, 201, 204, 204, 204, 201, 203, 221, 206, 202, 202, 211, 203, 199, 204, 1, 621, 2016/6/13 - 21:48:54
231, 198, 203, 201, 204, 204, 204, 201, 203, 221, 206, 201, 202, 211, 202, 200, 204, 1, 415, 2016/6/13 - 21:48:54
231, 197, 203, 200, 204, 203, 204, 201, 203, 218, 206, 202, 202, 211, 203, 199, 204, 1, 617, 2016/6/13 - 21:48:55
