2016/6/13 - 22:7:16 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
231, 198, 203, 201, 204, 206, 204, 202, 204, 236, 206, 202, 202, 235, 204, 200, 205, 1, 1981, 2016/6/13 - 22:7:20
231, 198, 203, 201, 204, 205, 204, 201, 204, 235, 206, 202, 202, 234, 204, 200, 205, 1, 214, 2016/6/13 - 22:7:20
231, 198, 203, 201, 204, 205, 205, 201, 204, 234, 206, 203, 202, 232, 204, 200, 205, 1, 220, 2016/6/13 - 22:7:21
231, 198, 203, 201, 204, 206, 205, 202, 204, 233, 207, 202, 202, 231, 203, 200, 205, 1, 216, 2016/6/13 - 22:7:21
231, 198, 203, 201, 204, 206, 204, 202, 204, 232, 206, 202, 202, 229, 203, 200, 205, 1, 219, 2016/6/13 - 22:7:21
231, 198, 203, 201, 204, 206, 204, 201, 204, 234, 206, 202, 202, 227, 204, 200, 205, 1, 1436, 2016/6/13 - 22:7:23
231, 198, 203, 201, 203, 205, 204, 201, 204, 234, 206, 202, 202, 227, 203, 200, 204, 1, 624, 2016/6/13 - 22:7:23
231, 198, 203, 201, 204, 205, 204, 202, 204, 234, 206, 202, 202, 227, 204, 200, 204, 1, 420, 2016/6/13 - 22:7:24
231, 198, 203, 201, 204, 205, 204, 202, 204, 234, 206, 201, 202, 227, 204, 200, 205, 1, 214, 2016/6/13 - 22:7:24
231, 198, 202, 201, 203, 205, 204, 202, 204, 235, 206, 202, 202, 227, 203, 201, 205, 1, 213, 2016/6/13 - 22:7:24
231, 198, 202, 201, 203, 206, 204, 201, 204, 235, 206, 202, 202, 228, 203, 200, 204, 1, 216, 2016/6/13 - 22:7:24
231, 198, 202, 201, 204, 205, 204, 202, 204, 234, 206, 202, 202, 228, 203, 200, 204, 1, 419, 2016/6/13 - 22:7:25
231, 198, 202, 201, 204, 206, 204, 201, 204, 234, 206, 202, 202, 229, 203, 200, 205, 1, 213, 2016/6/13 - 22:7:25
231, 198, 203, 201, 204, 205, 204, 202, 204, 234, 206, 202, 202, 229, 203, 200, 204, 1, 216, 2016/6/13 - 22:7:25
231, 198, 203, 201, 204, 205, 204, 201, 204, 235, 206, 202, 202, 229, 204, 200, 204, 1, 212, 2016/6/13 - 22:7:25
231, 198, 203, 201, 204, 205, 204, 202, 203, 235, 207, 202, 203, 229, 203, 200, 204, 1, 421, 2016/6/13 - 22:7:26
231, 198, 203, 201, 204, 205, 204, 202, 204, 235, 207, 202, 202, 229, 203, 200, 204, 1, 1022, 2016/6/13 - 22:7:27
231, 198, 203, 201, 204, 205, 204, 202, 204, 235, 206, 202, 202, 229, 203, 200, 205, 1, 215, 2016/6/13 - 22:7:27
231, 198, 203, 201, 204, 206, 205, 202, 204, 235, 206, 202, 202, 230, 204, 200, 205, 1, 214, 2016/6/13 - 22:7:27
231, 198, 203, 201, 204, 205, 204, 202, 204, 235, 206, 202, 202, 229, 203, 200, 204, 1, 213, 2016/6/13 - 22:7:27
231, 198, 203, 201, 204, 205, 204, 202, 204, 236, 206, 202, 202, 229, 203, 200, 204, 1, 218, 2016/6/13 - 22:7:28
231, 198, 203, 201, 204, 206, 204, 202, 204, 236, 207, 202, 202, 229, 203, 200, 205, 1, 211, 2016/6/13 - 22:7:28
231, 198, 203, 201, 204, 206, 204, 202, 204, 235, 206, 202, 202, 229, 203, 200, 205, 1, 211, 2016/6/13 - 22:7:28
231, 198, 203, 201, 203, 206, 204, 202, 204, 235, 206, 202, 202, 229, 203, 201, 205, 1, 216, 2016/6/13 - 22:7:28
231, 198, 203, 201, 204, 206, 204, 201, 204, 236, 207, 202, 202, 225, 203, 200, 205, 1, 829, 2016/6/13 - 22:7:29
231, 198, 203, 201, 204, 207, 204, 202, 204, 236, 207, 202, 202, 228, 204, 200, 205, 1, 414, 2016/6/13 - 22:7:30
231, 198, 202, 201, 204, 209, 204, 201, 204, 236, 206, 202, 202, 221, 203, 200, 204, 1, 830, 2016/6/13 - 22:7:30
231, 198, 203, 201, 204, 210, 204, 202, 204, 237, 207, 202, 202, 218, 203, 200, 205, 1, 422, 2016/6/13 - 22:7:31
231, 198, 203, 201, 204, 210, 205, 202, 204, 237, 207, 202, 202, 219, 203, 200, 205, 1, 215, 2016/6/13 - 22:7:31
231, 199, 203, 202, 204, 210, 204, 202, 204, 238, 207, 202, 202, 216, 204, 200, 204, 1, 418, 2016/6/13 - 22:7:31
231, 199, 203, 201, 204, 210, 204, 202, 204, 238, 207, 202, 202, 217, 203, 200, 205, 1, 219, 2016/6/13 - 22:7:32
231, 199, 203, 201, 204, 210, 204, 202, 205, 238, 207, 203, 202, 217, 204, 200, 205, 1, 210, 2016/6/13 - 22:7:32
231, 199, 203, 201, 204, 210, 205, 202, 204, 239, 207, 202, 202, 216, 203, 200, 205, 1, 1021, 2016/6/13 - 22:7:33
231, 198, 202, 201, 204, 209, 204, 201, 204, 239, 207, 201, 202, 216, 203, 200, 205, 1, 421, 2016/6/13 - 22:7:33
231, 199, 203, 201, 204, 210, 204, 202, 205, 238, 206, 202, 202, 216, 203, 201, 205, 1, 621, 2016/6/13 - 22:7:34
231, 199, 203, 201, 204, 210, 205, 202, 204, 239, 206, 203, 202, 217, 203, 201, 205, 1, 214, 2016/6/13 - 22:7:34
231, 199, 203, 202, 204, 210, 205, 202, 204, 239, 207, 203, 202, 217, 204, 201, 205, 1, 209, 2016/6/13 - 22:7:34
231, 200, 203, 202, 204, 210, 205, 202, 205, 239, 207, 203, 203, 217, 204, 200, 205, 1, 212, 2016/6/13 - 22:7:35
231, 199, 203, 202, 204, 211, 205, 202, 205, 239, 207, 203, 203, 216, 204, 200, 205, 1, 212, 2016/6/13 - 22:7:35
231, 199, 203, 202, 204, 210, 205, 201, 205, 239, 207, 203, 203, 217, 204, 200, 205, 1, 209, 2016/6/13 - 22:7:35
231, 199, 203, 201, 204, 210, 204, 202, 205, 238, 207, 202, 203, 217, 203, 200, 205, 1, 414, 2016/6/13 - 22:7:35
231, 198, 203, 201, 204, 210, 205, 202, 204, 239, 207, 202, 203, 217, 203, 200, 205, 1, 211, 2016/6/13 - 22:7:36
231, 199, 203, 202, 204, 210, 205, 202, 205, 239, 207, 202, 203, 217, 204, 200, 205, 1, 417, 2016/6/13 - 22:7:36
231, 199, 202, 201, 204, 210, 205, 202, 205, 238, 207, 202, 202, 216, 203, 200, 205, 1, 208, 2016/6/13 - 22:7:36
231, 198, 203, 201, 204, 209, 205, 202, 204, 237, 207, 202, 202, 218, 203, 200, 204, 1, 416, 2016/6/13 - 22:7:37
231, 198, 203, 202, 204, 208, 204, 202, 204, 237, 207, 202, 202, 222, 203, 200, 205, 1, 213, 2016/6/13 - 22:7:37
231, 198, 203, 201, 203, 207, 204, 202, 204, 236, 207, 202, 202, 232, 204, 200, 205, 1, 815, 2016/6/13 - 22:7:38
231, 199, 203, 201, 204, 207, 204, 202, 204, 236, 207, 202, 203, 232, 204, 200, 205, 1, 417, 2016/6/13 - 22:7:38
231, 199, 203, 201, 204, 207, 204, 202, 204, 236, 207, 203, 202, 231, 204, 200, 205, 1, 212, 2016/6/13 - 22:7:38
231, 199, 203, 201, 204, 207, 204, 202, 204, 236, 207, 203, 202, 230, 204, 200, 205, 1, 209, 2016/6/13 - 22:7:38
231, 199, 203, 201, 204, 207, 204, 202, 204, 236, 207, 202, 202, 230, 204, 201, 205, 1, 212, 2016/6/13 - 22:7:39
231, 198, 203, 201, 204, 207, 204, 202, 204, 236, 206, 202, 203, 230, 204, 201, 205, 1, 817, 2016/6/13 - 22:7:40
231, 199, 203, 201, 204, 208, 204, 202, 204, 236, 207, 202, 203, 230, 204, 201, 206, 1, 208, 2016/6/13 - 22:7:40
231, 198, 203, 201, 204, 208, 205, 202, 204, 236, 207, 202, 202, 231, 204, 200, 205, 1, 421, 2016/6/13 - 22:7:40
231, 199, 204, 201, 204, 207, 205, 202, 204, 236, 207, 202, 202, 231, 204, 200, 205, 1, 208, 2016/6/13 - 22:7:40
231, 199, 204, 201, 205, 207, 205, 202, 204, 237, 207, 202, 203, 232, 203, 201, 205, 1, 209, 2016/6/13 - 22:7:41
231, 199, 204, 202, 205, 207, 205, 202, 205, 237, 207, 203, 203, 232, 203, 201, 205, 1, 209, 2016/6/13 - 22:7:41
231, 199, 203, 202, 205, 207, 205, 202, 205, 237, 207, 203, 202, 232, 204, 201, 205, 1, 210, 2016/6/13 - 22:7:41
231, 199, 203, 201, 204, 206, 204, 202, 204, 236, 207, 202, 202, 232, 204, 201, 205, 1, 1440, 2016/6/13 - 22:7:42
231, 199, 203, 201, 204, 206, 204, 202, 204, 236, 206, 202, 202, 231, 204, 201, 205, 1, 210, 2016/6/13 - 22:7:43
231, 199, 203, 202, 204, 207, 204, 202, 205, 236, 207, 203, 203, 231, 204, 201, 205, 1, 212, 2016/6/13 - 22:7:43
231, 199, 203, 202, 204, 206, 204, 202, 205, 236, 207, 203, 203, 228, 203, 201, 205, 1, 208, 2016/6/13 - 22:7:43
231, 199, 203, 201, 203, 206, 205, 202, 205, 238, 207, 203, 202, 226, 203, 201, 205, 1, 209, 2016/6/13 - 22:7:43
231, 198, 203, 201, 203, 206, 204, 202, 204, 238, 206, 202, 202, 226, 204, 201, 205, 1, 213, 2016/6/13 - 22:7:43
231, 198, 203, 202, 204, 206, 204, 202, 204, 239, 207, 202, 202, 234, 204, 200, 205, 1, 820, 2016/6/13 - 22:7:44
231, 198, 203, 202, 204, 206, 204, 202, 204, 238, 207, 203, 203, 232, 204, 200, 205, 1, 413, 2016/6/13 - 22:7:45
231, 198, 203, 202, 204, 207, 204, 202, 204, 236, 207, 203, 203, 229, 204, 200, 205, 1, 211, 2016/6/13 - 22:7:45
231, 198, 203, 201, 204, 207, 204, 202, 204, 236, 207, 203, 203, 226, 204, 200, 205, 1, 209, 2016/6/13 - 22:7:45
231, 198, 203, 202, 204, 206, 204, 202, 204, 236, 207, 202, 203, 226, 204, 201, 205, 1, 211, 2016/6/13 - 22:7:45
231, 198, 203, 202, 204, 206, 204, 202, 204, 236, 207, 202, 203, 226, 204, 200, 205, 1, 208, 2016/6/13 - 22:7:46
231, 198, 203, 202, 204, 205, 204, 202, 204, 239, 207, 202, 202, 230, 204, 200, 205, 1, 411, 2016/6/13 - 22:7:46
231, 198, 203, 201, 204, 205, 204, 202, 204, 239, 207, 202, 202, 233, 204, 201, 205, 1, 209, 2016/6/13 - 22:7:46
231, 199, 203, 201, 204, 205, 205, 202, 204, 238, 207, 202, 202, 233, 204, 200, 204, 1, 210, 2016/6/13 - 22:7:46
231, 198, 203, 201, 204, 205, 205, 201, 204, 236, 207, 203, 203, 231, 204, 200, 204, 1, 210, 2016/6/13 - 22:7:47
231, 199, 203, 201, 204, 206, 205, 202, 204, 237, 207, 202, 202, 228, 203, 200, 205, 1, 615, 2016/6/13 - 22:7:47
231, 199, 203, 201, 204, 206, 204, 202, 204, 238, 206, 202, 202, 228, 204, 200, 205, 1, 616, 2016/6/13 - 22:7:48
231, 198, 203, 201, 204, 206, 204, 202, 204, 239, 207, 202, 202, 228, 204, 201, 205, 1, 210, 2016/6/13 - 22:7:48
231, 199, 203, 201, 204, 207, 205, 202, 204, 238, 206, 202, 202, 221, 203, 200, 204, 1, 819, 2016/6/13 - 22:7:49
231, 199, 203, 201, 204, 210, 205, 201, 204, 240, 207, 202, 202, 216, 203, 200, 204, 1, 1433, 2016/6/13 - 22:7:50
231, 199, 203, 202, 204, 210, 204, 202, 204, 240, 207, 202, 203, 218, 204, 200, 204, 1, 213, 2016/6/13 - 22:7:50
231, 199, 203, 202, 204, 209, 204, 202, 204, 239, 207, 203, 203, 220, 204, 201, 205, 1, 208, 2016/6/13 - 22:7:51
231, 198, 203, 201, 204, 207, 205, 202, 204, 239, 207, 202, 203, 222, 203, 200, 204, 1, 209, 2016/6/13 - 22:7:51
231, 198, 203, 201, 204, 208, 204, 202, 204, 238, 206, 202, 202, 217, 204, 200, 204, 1, 417, 2016/6/13 - 22:7:51
231, 198, 203, 201, 204, 208, 204, 202, 204, 238, 206, 202, 202, 218, 203, 200, 204, 1, 207, 2016/6/13 - 22:7:52
231, 198, 202, 201, 204, 209, 204, 202, 204, 239, 207, 202, 202, 218, 203, 200, 205, 1, 1031, 2016/6/13 - 22:7:53
231, 198, 203, 201, 204, 209, 204, 202, 204, 239, 206, 202, 202, 218, 204, 200, 204, 1, 210, 2016/6/13 - 22:7:53
231, 199, 203, 201, 204, 207, 205, 202, 204, 240, 207, 202, 203, 218, 204, 200, 205, 1, 2041, 2016/6/13 - 22:7:55
231, 198, 203, 201, 205, 209, 206, 202, 204, 240, 207, 202, 203, 219, 204, 200, 205, 1, 415, 2016/6/13 - 22:7:55
231, 199, 203, 201, 204, 207, 205, 202, 204, 240, 207, 202, 203, 218, 204, 200, 205, 1, 414, 2016/6/13 - 22:7:56
232, 199, 203, 201, 204, 209, 205, 202, 205, 240, 207, 202, 202, 218, 205, 201, 205, 1, 207, 2016/6/13 - 22:7:56
232, 200, 204, 202, 205, 210, 206, 203, 206, 241, 208, 203, 203, 217, 204, 201, 206, 1, 208, 2016/6/13 - 22:7:56
231, 199, 203, 203, 205, 210, 205, 203, 205, 240, 207, 203, 203, 216, 204, 201, 205, 1, 207, 2016/6/13 - 22:7:56
231, 198, 203, 201, 204, 209, 205, 202, 204, 241, 207, 202, 203, 216, 203, 200, 205, 1, 415, 2016/6/13 - 22:7:57
231, 198, 203, 201, 204, 210, 205, 202, 204, 241, 207, 202, 203, 216, 203, 200, 205, 1, 211, 2016/6/13 - 22:7:57
231, 198, 203, 201, 204, 206, 204, 202, 204, 239, 207, 202, 203, 219, 204, 200, 205, 1, 823, 2016/6/13 - 22:7:58
231, 198, 203, 201, 204, 206, 204, 201, 204, 240, 207, 202, 202, 231, 203, 200, 204, 1, 615, 2016/6/13 - 22:7:58
