2016/6/13 - 21:25:38 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
228, 199, 203, 200, 203, 204, 204, 200, 203, 227, 206, 201, 201, 204, 201, 199, 203, 1, 2614, 2016/6/13 - 21:25:42
228, 199, 203, 201, 203, 205, 204, 200, 202, 228, 206, 201, 201, 204, 202, 199, 203, 1, 219, 2016/6/13 - 21:25:42
228, 199, 203, 201, 203, 205, 204, 200, 202, 228, 206, 201, 201, 204, 202, 199, 204, 1, 214, 2016/6/13 - 21:25:43
228, 199, 202, 201, 203, 205, 204, 200, 203, 228, 206, 201, 201, 204, 202, 199, 203, 1, 216, 2016/6/13 - 21:25:43
228, 199, 203, 201, 203, 205, 204, 201, 203, 229, 207, 201, 201, 205, 201, 199, 203, 1, 218, 2016/6/13 - 21:25:43
228, 199, 203, 201, 203, 205, 204, 200, 203, 229, 207, 201, 201, 205, 202, 199, 203, 1, 214, 2016/6/13 - 21:25:43
228, 199, 203, 200, 204, 205, 204, 200, 203, 229, 207, 201, 201, 204, 202, 199, 203, 1, 218, 2016/6/13 - 21:25:43
228, 199, 203, 200, 204, 205, 204, 200, 203, 228, 206, 201, 201, 204, 202, 199, 203, 1, 213, 2016/6/13 - 21:25:44
228, 198, 202, 200, 203, 205, 204, 200, 203, 228, 206, 201, 201, 204, 201, 199, 203, 1, 618, 2016/6/13 - 21:25:44
228, 198, 203, 200, 202, 204, 203, 200, 202, 230, 206, 201, 200, 204, 201, 199, 203, 1, 416, 2016/6/13 - 21:25:45
228, 198, 202, 200, 203, 205, 204, 200, 202, 232, 207, 201, 200, 207, 202, 199, 203, 1, 631, 2016/6/13 - 21:25:45
228, 199, 202, 200, 203, 204, 204, 200, 203, 230, 206, 201, 201, 206, 202, 199, 203, 1, 625, 2016/6/13 - 21:25:46
228, 198, 203, 201, 203, 205, 204, 200, 203, 230, 207, 201, 201, 205, 202, 199, 203, 1, 216, 2016/6/13 - 21:25:46
228, 199, 202, 200, 203, 204, 204, 200, 202, 225, 207, 201, 201, 204, 201, 199, 203, 1, 1026, 2016/6/13 - 21:25:47
228, 199, 202, 200, 203, 205, 204, 200, 203, 225, 207, 201, 201, 204, 202, 199, 203, 1, 212, 2016/6/13 - 21:25:47
228, 198, 202, 201, 203, 205, 204, 200, 203, 224, 206, 201, 201, 204, 202, 199, 203, 1, 215, 2016/6/13 - 21:25:48
