2016/6/13 - 22:9:3 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
231, 198, 203, 201, 203, 204, 204, 201, 204, 210, 205, 202, 201, 210, 202, 200, 204, 1, 1946, 2016/6/13 - 22:9:6
231, 198, 203, 201, 204, 204, 204, 201, 204, 210, 205, 202, 201, 210, 202, 200, 204, 1, 217, 2016/6/13 - 22:9:6
231, 198, 202, 201, 203, 203, 204, 202, 204, 209, 204, 202, 202, 210, 203, 199, 205, 1, 421, 2016/6/13 - 22:9:6
231, 197, 202, 201, 204, 203, 204, 201, 203, 209, 205, 201, 202, 210, 202, 200, 204, 1, 1046, 2016/6/13 - 22:9:7
231, 198, 202, 201, 204, 203, 204, 201, 203, 209, 205, 201, 202, 210, 202, 200, 204, 1, 214, 2016/6/13 - 22:9:7
231, 198, 202, 200, 204, 203, 204, 201, 203, 209, 205, 202, 202, 210, 202, 200, 204, 1, 628, 2016/6/13 - 22:9:8
231, 198, 202, 200, 204, 203, 204, 201, 203, 209, 205, 202, 202, 210, 203, 200, 204, 1, 215, 2016/6/13 - 22:9:8
231, 197, 202, 201, 204, 203, 203, 201, 203, 209, 205, 202, 202, 210, 203, 199, 204, 1, 825, 2016/6/13 - 22:9:9
231, 197, 202, 201, 203, 203, 204, 201, 204, 209, 205, 201, 202, 210, 202, 199, 204, 1, 626, 2016/6/13 - 22:9:10
231, 197, 202, 201, 203, 203, 204, 201, 204, 209, 205, 201, 202, 210, 202, 200, 204, 1, 623, 2016/6/13 - 22:9:10
231, 198, 202, 201, 204, 203, 204, 201, 204, 208, 205, 201, 202, 210, 202, 200, 204, 1, 220, 2016/6/13 - 22:9:11
231, 198, 203, 201, 204, 204, 204, 201, 204, 209, 205, 202, 202, 210, 203, 200, 204, 1, 215, 2016/6/13 - 22:9:11
231, 198, 202, 201, 203, 203, 204, 201, 204, 209, 205, 202, 202, 210, 202, 200, 205, 1, 617, 2016/6/13 - 22:9:11
231, 197, 202, 201, 203, 204, 203, 201, 204, 209, 205, 202, 202, 210, 202, 200, 204, 1, 626, 2016/6/13 - 22:9:12
231, 198, 202, 201, 204, 204, 204, 201, 204, 209, 205, 202, 202, 210, 203, 200, 205, 1, 419, 2016/6/13 - 22:9:12
231, 198, 202, 201, 204, 204, 204, 201, 204, 209, 205, 202, 202, 211, 203, 200, 205, 1, 213, 2016/6/13 - 22:9:13
231, 197, 202, 201, 204, 204, 204, 202, 204, 209, 205, 202, 202, 210, 202, 200, 205, 1, 832, 2016/6/13 - 22:9:14
231, 197, 203, 201, 203, 204, 204, 201, 204, 209, 205, 202, 202, 210, 202, 200, 205, 1, 216, 2016/6/13 - 22:9:14
231, 197, 202, 201, 204, 204, 204, 201, 204, 209, 205, 202, 202, 211, 202, 200, 205, 1, 215, 2016/6/13 - 22:9:14
232, 201, 205, 204, 207, 206, 207, 204, 207, 212, 208, 205, 205, 213, 205, 203, 208, 1, 421, 2016/6/13 - 22:9:14
231, 199, 204, 202, 205, 205, 205, 202, 205, 210, 206, 203, 203, 211, 203, 201, 205, 1, 623, 2016/6/13 - 22:9:15
231, 198, 203, 201, 204, 203, 204, 201, 204, 208, 205, 202, 202, 210, 202, 200, 205, 1, 414, 2016/6/13 - 22:9:15
231, 197, 202, 201, 203, 203, 204, 201, 204, 208, 205, 201, 201, 210, 202, 200, 205, 1, 210, 2016/6/13 - 22:9:16
231, 198, 203, 201, 204, 203, 203, 201, 204, 209, 205, 201, 202, 210, 202, 200, 204, 1, 414, 2016/6/13 - 22:9:16
231, 198, 203, 201, 204, 204, 204, 201, 204, 208, 205, 201, 202, 210, 202, 200, 204, 1, 211, 2016/6/13 - 22:9:16
231, 198, 203, 201, 203, 203, 204, 201, 204, 208, 205, 201, 202, 210, 202, 200, 204, 1, 210, 2016/6/13 - 22:9:16
231, 197, 203, 201, 204, 203, 204, 201, 204, 208, 205, 202, 201, 210, 202, 199, 204, 1, 420, 2016/6/13 - 22:9:17
231, 197, 203, 201, 203, 203, 204, 201, 204, 208, 205, 202, 202, 210, 203, 199, 204, 1, 615, 2016/6/13 - 22:9:17
231, 197, 202, 201, 204, 203, 204, 201, 204, 209, 205, 201, 202, 210, 203, 199, 204, 1, 210, 2016/6/13 - 22:9:18
231, 197, 202, 200, 203, 203, 203, 201, 203, 208, 204, 201, 201, 209, 202, 199, 204, 1, 625, 2016/6/13 - 22:9:18
231, 197, 202, 201, 204, 204, 204, 201, 204, 209, 205, 202, 202, 210, 202, 200, 205, 1, 414, 2016/6/13 - 22:9:19
231, 198, 203, 201, 204, 204, 203, 201, 204, 208, 205, 202, 202, 210, 202, 200, 204, 1, 417, 2016/6/13 - 22:9:19
231, 198, 203, 201, 204, 204, 204, 201, 204, 208, 205, 202, 202, 210, 203, 200, 205, 1, 211, 2016/6/13 - 22:9:19
231, 198, 203, 201, 204, 204, 204, 201, 204, 209, 206, 203, 202, 210, 203, 200, 205, 1, 213, 2016/6/13 - 22:9:20
231, 197, 202, 201, 204, 203, 204, 201, 204, 209, 205, 202, 202, 210, 202, 199, 204, 1, 416, 2016/6/13 - 22:9:20
231, 197, 202, 201, 204, 204, 204, 202, 204, 209, 205, 202, 202, 210, 203, 199, 204, 1, 420, 2016/6/13 - 22:9:20
231, 197, 202, 201, 204, 203, 203, 201, 204, 209, 205, 202, 202, 210, 203, 200, 205, 1, 213, 2016/6/13 - 22:9:21
231, 198, 202, 201, 204, 203, 204, 202, 204, 208, 205, 202, 202, 210, 202, 201, 205, 1, 208, 2016/6/13 - 22:9:21
231, 197, 202, 201, 204, 203, 204, 201, 203, 208, 205, 202, 202, 209, 202, 199, 204, 1, 418, 2016/6/13 - 22:9:21
231, 197, 203, 201, 204, 203, 204, 202, 204, 209, 205, 202, 202, 209, 202, 200, 204, 1, 211, 2016/6/13 - 22:9:21
231, 197, 203, 201, 204, 203, 204, 202, 204, 209, 205, 202, 202, 210, 202, 199, 205, 1, 213, 2016/6/13 - 22:9:22
231, 197, 202, 201, 204, 203, 204, 201, 204, 209, 205, 202, 202, 210, 202, 199, 204, 1, 209, 2016/6/13 - 22:9:22
231, 198, 202, 202, 204, 203, 204, 201, 204, 209, 205, 202, 202, 210, 203, 199, 204, 1, 211, 2016/6/13 - 22:9:22
231, 198, 203, 202, 204, 203, 204, 201, 204, 209, 205, 202, 202, 210, 202, 200, 204, 1, 214, 2016/6/13 - 22:9:22
231, 198, 203, 201, 203, 203, 204, 201, 204, 209, 205, 202, 202, 210, 202, 200, 204, 1, 209, 2016/6/13 - 22:9:23
