2016/5/23 - 22:46:4 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
254, 233, 240, 237, 231, 234, 261, 260, 233, 235, 240, 238, 232, 230, 231, 233, 228, 1, 2006, 2016/5/23 - 22:46:7
254, 233, 240, 237, 232, 235, 262, 261, 233, 235, 240, 238, 232, 230, 231, 233, 228, 1, 1440, 2016/5/23 - 22:46:8
255, 234, 241, 237, 232, 235, 263, 261, 234, 236, 241, 239, 233, 231, 232, 233, 229, 1, 219, 2016/5/23 - 22:46:9
254, 234, 241, 237, 232, 236, 264, 261, 234, 236, 241, 239, 233, 231, 232, 233, 229, 1, 217, 2016/5/23 - 22:46:9
254, 233, 241, 237, 231, 235, 262, 259, 233, 235, 240, 238, 232, 230, 231, 233, 228, 1, 425, 2016/5/23 - 22:46:9
254, 233, 240, 237, 231, 235, 262, 259, 233, 234, 240, 238, 233, 229, 231, 233, 228, 1, 221, 2016/5/23 - 22:46:10
254, 233, 240, 237, 231, 235, 262, 260, 233, 234, 240, 238, 233, 230, 231, 233, 227, 1, 212, 2016/5/23 - 22:46:10
254, 234, 238, 235, 231, 234, 262, 265, 233, 234, 240, 238, 232, 229, 230, 232, 227, 1, 1038, 2016/5/23 - 22:46:11
254, 233, 238, 235, 231, 236, 262, 265, 233, 234, 240, 238, 232, 229, 231, 232, 227, 1, 216, 2016/5/23 - 22:46:11
254, 235, 239, 237, 231, 235, 260, 266, 234, 234, 240, 239, 233, 230, 231, 232, 228, 1, 425, 2016/5/23 - 22:46:11
254, 234, 240, 238, 232, 235, 259, 266, 234, 234, 240, 238, 233, 230, 231, 232, 228, 1, 215, 2016/5/23 - 22:46:12
255, 234, 241, 239, 233, 236, 258, 267, 234, 235, 240, 238, 233, 230, 232, 234, 229, 1, 208, 2016/5/23 - 22:46:12
254, 234, 240, 239, 232, 236, 257, 268, 235, 236, 240, 239, 233, 230, 232, 234, 229, 1, 213, 2016/5/23 - 22:46:12
254, 234, 240, 237, 231, 238, 259, 256, 232, 234, 240, 238, 232, 229, 231, 232, 228, 1, 637, 2016/5/23 - 22:46:13
255, 234, 241, 237, 232, 239, 262, 253, 234, 235, 240, 238, 233, 230, 231, 233, 228, 1, 214, 2016/5/23 - 22:46:13
255, 235, 242, 237, 232, 241, 265, 251, 235, 235, 241, 239, 234, 231, 232, 233, 229, 1, 215, 2016/5/23 - 22:46:13
254, 235, 241, 236, 232, 242, 266, 248, 234, 235, 241, 239, 234, 230, 231, 232, 229, 1, 213, 2016/5/23 - 22:46:13
255, 236, 241, 236, 233, 244, 268, 247, 234, 235, 241, 239, 234, 230, 232, 233, 228, 1, 219, 2016/5/23 - 22:46:14
254, 237, 242, 236, 233, 245, 269, 245, 233, 235, 241, 238, 233, 230, 232, 233, 229, 1, 214, 2016/5/23 - 22:46:14
254, 236, 243, 235, 231, 244, 268, 243, 233, 235, 240, 238, 233, 230, 232, 232, 228, 1, 211, 2016/5/23 - 22:46:14
255, 238, 245, 236, 232, 248, 268, 243, 233, 235, 241, 238, 234, 231, 232, 233, 228, 1, 216, 2016/5/23 - 22:46:14
255, 240, 241, 233, 231, 258, 259, 240, 233, 236, 240, 237, 233, 230, 231, 233, 228, 1, 622, 2016/5/23 - 22:46:15
255, 241, 240, 234, 232, 260, 259, 241, 234, 236, 241, 238, 234, 231, 232, 234, 229, 1, 211, 2016/5/23 - 22:46:15
255, 240, 241, 234, 233, 259, 261, 241, 234, 236, 241, 238, 234, 231, 232, 234, 230, 1, 419, 2016/5/23 - 22:46:16
