2016/5/23 - 22:56:3 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
256, 234, 233, 233, 231, 234, 238, 240, 235, 238, 245, 246, 245, 233, 239, 244, 240, 1, 2005, 2016/5/23 - 22:56:6
256, 233, 233, 233, 231, 234, 238, 240, 235, 238, 245, 247, 245, 233, 239, 244, 240, 1, 627, 2016/5/23 - 22:56:7
257, 234, 234, 234, 232, 235, 238, 240, 235, 239, 246, 247, 245, 233, 240, 244, 240, 1, 623, 2016/5/23 - 22:56:7
257, 234, 234, 233, 232, 235, 238, 240, 235, 239, 246, 248, 246, 234, 240, 244, 240, 1, 419, 2016/5/23 - 22:56:8
256, 234, 234, 234, 232, 235, 238, 241, 236, 240, 246, 247, 245, 233, 240, 244, 240, 1, 219, 2016/5/23 - 22:56:8
256, 234, 234, 234, 232, 235, 238, 240, 235, 239, 246, 246, 245, 233, 240, 244, 240, 1, 216, 2016/5/23 - 22:56:8
257, 235, 235, 235, 233, 235, 238, 240, 235, 239, 246, 247, 246, 234, 240, 245, 240, 1, 217, 2016/5/23 - 22:56:8
257, 235, 234, 235, 233, 235, 239, 241, 235, 239, 246, 247, 246, 234, 241, 245, 241, 1, 419, 2016/5/23 - 22:56:9
257, 235, 234, 235, 233, 235, 239, 242, 236, 239, 247, 247, 246, 235, 240, 245, 241, 1, 212, 2016/5/23 - 22:56:9
256, 234, 233, 233, 232, 234, 238, 240, 235, 238, 246, 246, 245, 234, 239, 245, 241, 1, 419, 2016/5/23 - 22:56:9
256, 233, 233, 233, 232, 234, 238, 240, 235, 238, 245, 246, 245, 233, 240, 245, 239, 1, 216, 2016/5/23 - 22:56:10
256, 233, 233, 233, 231, 234, 238, 240, 235, 238, 245, 246, 248, 232, 240, 245, 238, 1, 214, 2016/5/23 - 22:56:10
256, 234, 233, 233, 232, 235, 238, 240, 235, 237, 244, 246, 253, 232, 238, 243, 235, 1, 619, 2016/5/23 - 22:56:11
