2016/5/23 - 22:54:23 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
256, 234, 234, 234, 233, 235, 239, 241, 236, 247, 256, 261, 247, 238, 245, 259, 243, 1, 2356, 2016/5/23 - 22:54:27
256, 234, 234, 234, 233, 235, 239, 241, 236, 247, 256, 261, 247, 237, 246, 260, 243, 1, 220, 2016/5/23 - 22:54:27
256, 234, 234, 234, 233, 235, 239, 241, 236, 246, 256, 262, 250, 236, 245, 259, 243, 1, 215, 2016/5/23 - 22:54:28
256, 233, 233, 234, 233, 235, 240, 242, 236, 245, 255, 262, 253, 232, 240, 256, 241, 1, 621, 2016/5/23 - 22:54:28
256, 233, 234, 234, 232, 235, 240, 242, 236, 246, 256, 263, 255, 232, 239, 254, 240, 1, 624, 2016/5/23 - 22:54:29
256, 233, 234, 234, 232, 235, 240, 242, 237, 245, 256, 263, 257, 232, 240, 256, 240, 1, 214, 2016/5/23 - 22:54:29
256, 234, 234, 234, 232, 235, 240, 242, 236, 246, 258, 264, 258, 232, 240, 256, 240, 1, 827, 2016/5/23 - 22:54:30
256, 234, 234, 234, 232, 235, 240, 243, 237, 246, 258, 264, 259, 233, 241, 256, 240, 1, 215, 2016/5/23 - 22:54:30
256, 234, 235, 235, 233, 235, 241, 242, 237, 245, 258, 263, 259, 233, 242, 257, 241, 1, 422, 2016/5/23 - 22:54:31
256, 234, 234, 235, 233, 235, 241, 242, 237, 246, 258, 264, 259, 233, 242, 257, 241, 1, 215, 2016/5/23 - 22:54:31
256, 234, 234, 234, 232, 235, 240, 242, 236, 246, 258, 261, 259, 234, 242, 255, 240, 1, 831, 2016/5/23 - 22:54:32
256, 234, 234, 234, 233, 236, 241, 241, 237, 247, 259, 262, 259, 235, 242, 255, 240, 1, 415, 2016/5/23 - 22:54:32
256, 234, 234, 234, 233, 235, 241, 241, 236, 246, 259, 263, 259, 234, 242, 256, 240, 1, 216, 2016/5/23 - 22:54:32
256, 234, 234, 234, 232, 235, 240, 241, 236, 246, 258, 263, 259, 234, 242, 256, 240, 1, 416, 2016/5/23 - 22:54:33
256, 234, 234, 234, 232, 235, 240, 242, 237, 246, 258, 263, 259, 234, 242, 256, 241, 1, 421, 2016/5/23 - 22:54:33
256, 234, 234, 234, 232, 236, 241, 243, 236, 246, 258, 263, 259, 234, 242, 255, 240, 1, 217, 2016/5/23 - 22:54:33
256, 234, 234, 234, 232, 236, 241, 243, 236, 246, 258, 263, 259, 234, 242, 255, 241, 1, 213, 2016/5/23 - 22:54:33
256, 234, 234, 234, 232, 235, 240, 242, 236, 246, 258, 263, 259, 235, 242, 255, 241, 1, 211, 2016/5/23 - 22:54:34
256, 234, 233, 234, 233, 235, 240, 241, 236, 246, 258, 264, 259, 235, 242, 255, 241, 1, 217, 2016/5/23 - 22:54:34
256, 234, 233, 234, 232, 235, 240, 241, 235, 245, 258, 262, 259, 233, 242, 255, 240, 1, 415, 2016/5/23 - 22:54:34
256, 234, 234, 234, 232, 235, 240, 241, 236, 245, 258, 262, 259, 234, 242, 255, 240, 1, 213, 2016/5/23 - 22:54:35
256, 234, 233, 234, 232, 235, 240, 241, 236, 245, 258, 262, 259, 234, 242, 255, 240, 1, 214, 2016/5/23 - 22:54:35
256, 234, 234, 233, 232, 234, 240, 241, 236, 245, 257, 260, 258, 233, 242, 254, 240, 1, 622, 2016/5/23 - 22:54:35
256, 233, 234, 233, 232, 234, 240, 241, 235, 244, 257, 259, 257, 233, 242, 254, 240, 1, 1025, 2016/5/23 - 22:54:36
256, 233, 234, 234, 232, 234, 240, 242, 236, 245, 257, 260, 258, 234, 242, 255, 240, 1, 623, 2016/5/23 - 22:54:37
256, 234, 234, 234, 233, 236, 240, 241, 236, 245, 257, 258, 258, 234, 242, 254, 241, 1, 413, 2016/5/23 - 22:54:37
256, 234, 235, 234, 233, 235, 240, 242, 236, 245, 257, 259, 258, 234, 242, 254, 240, 1, 416, 2016/5/23 - 22:54:38
256, 234, 234, 234, 232, 235, 240, 242, 236, 245, 258, 260, 258, 234, 242, 254, 241, 1, 212, 2016/5/23 - 22:54:38
256, 233, 234, 234, 232, 235, 240, 242, 237, 246, 259, 260, 259, 234, 242, 255, 241, 1, 215, 2016/5/23 - 22:54:38
256, 234, 234, 233, 233, 235, 240, 242, 236, 245, 258, 261, 258, 234, 242, 255, 240, 1, 421, 2016/5/23 - 22:54:39
256, 233, 234, 234, 233, 235, 240, 242, 236, 245, 258, 261, 259, 234, 242, 255, 240, 1, 207, 2016/5/23 - 22:54:39
256, 233, 234, 234, 233, 235, 240, 242, 236, 245, 259, 261, 259, 234, 242, 255, 240, 1, 214, 2016/5/23 - 22:54:39
256, 234, 234, 234, 232, 235, 240, 241, 236, 245, 259, 261, 258, 234, 242, 255, 240, 1, 210, 2016/5/23 - 22:54:39
256, 234, 234, 234, 232, 235, 241, 243, 236, 246, 259, 261, 258, 234, 242, 255, 240, 1, 213, 2016/5/23 - 22:54:40
256, 234, 234, 234, 232, 235, 240, 243, 236, 245, 259, 261, 258, 235, 243, 255, 240, 1, 211, 2016/5/23 - 22:54:40
257, 234, 234, 235, 233, 236, 241, 243, 237, 246, 259, 261, 259, 235, 243, 256, 241, 1, 209, 2016/5/23 - 22:54:40
256, 234, 234, 234, 232, 236, 241, 243, 237, 246, 259, 261, 259, 234, 242, 256, 241, 1, 208, 2016/5/23 - 22:54:40
256, 233, 233, 234, 232, 235, 240, 242, 236, 245, 258, 261, 258, 234, 242, 255, 240, 1, 210, 2016/5/23 - 22:54:40
256, 233, 233, 233, 232, 235, 241, 242, 235, 245, 258, 261, 258, 234, 242, 255, 239, 1, 209, 2016/5/23 - 22:54:41
256, 233, 233, 234, 232, 235, 240, 241, 235, 245, 258, 261, 258, 234, 242, 255, 240, 1, 213, 2016/5/23 - 22:54:41
257, 234, 234, 234, 233, 236, 240, 241, 236, 245, 259, 261, 260, 235, 243, 255, 240, 1, 209, 2016/5/23 - 22:54:41
256, 233, 234, 233, 233, 235, 240, 241, 235, 245, 258, 261, 258, 234, 242, 255, 240, 1, 412, 2016/5/23 - 22:54:41
257, 234, 234, 234, 233, 235, 240, 242, 236, 245, 259, 261, 259, 234, 242, 255, 241, 1, 211, 2016/5/23 - 22:54:42
256, 233, 234, 234, 232, 235, 240, 241, 235, 244, 258, 261, 258, 234, 241, 255, 239, 1, 1024, 2016/5/23 - 22:54:43
256, 234, 234, 234, 232, 235, 240, 241, 236, 245, 258, 261, 259, 233, 242, 255, 240, 1, 210, 2016/5/23 - 22:54:43
256, 234, 233, 233, 232, 234, 240, 241, 236, 245, 258, 261, 255, 233, 240, 254, 239, 1, 417, 2016/5/23 - 22:54:43
256, 233, 233, 233, 232, 234, 239, 241, 235, 240, 254, 259, 253, 232, 239, 252, 240, 1, 620, 2016/5/23 - 22:54:44
257, 234, 234, 234, 232, 235, 239, 242, 236, 240, 255, 260, 255, 233, 239, 250, 239, 1, 212, 2016/5/23 - 22:54:44
256, 234, 234, 234, 232, 235, 240, 244, 237, 241, 256, 261, 259, 233, 237, 246, 238, 1, 213, 2016/5/23 - 22:54:44
256, 234, 233, 234, 232, 234, 241, 244, 236, 242, 257, 263, 265, 232, 235, 248, 239, 1, 415, 2016/5/23 - 22:54:45
256, 233, 233, 234, 232, 234, 241, 243, 235, 242, 257, 262, 262, 231, 235, 248, 238, 1, 412, 2016/5/23 - 22:54:45
256, 233, 233, 234, 232, 234, 240, 242, 236, 242, 258, 262, 260, 231, 236, 248, 237, 1, 209, 2016/5/23 - 22:54:45
256, 232, 233, 233, 232, 234, 239, 241, 235, 241, 255, 260, 254, 232, 236, 251, 241, 1, 416, 2016/5/23 - 22:54:46
256, 233, 233, 233, 232, 234, 239, 241, 235, 241, 256, 261, 253, 233, 237, 252, 241, 1, 209, 2016/5/23 - 22:54:46
256, 233, 233, 233, 232, 235, 240, 241, 235, 242, 257, 261, 253, 233, 237, 254, 242, 1, 211, 2016/5/23 - 22:54:46
256, 232, 233, 234, 231, 235, 239, 242, 235, 243, 256, 260, 253, 233, 238, 255, 243, 1, 214, 2016/5/23 - 22:54:46
256, 233, 233, 234, 232, 235, 239, 241, 236, 243, 256, 259, 252, 232, 238, 256, 244, 1, 208, 2016/5/23 - 22:54:47
256, 233, 233, 233, 231, 235, 239, 241, 235, 242, 257, 257, 251, 233, 238, 256, 244, 1, 410, 2016/5/23 - 22:54:47
256, 233, 233, 233, 232, 235, 239, 240, 235, 243, 257, 258, 251, 232, 238, 256, 245, 1, 612, 2016/5/23 - 22:54:48
2016/5/23 - 22:54:48 END OF FILE
