2016/6/10 - 21:11:59 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
234, 209, 210, 210, 208, 209, 214, 214, 210, 214, 226, 219, 210, 209, 213, 214, 207, 1, 2039, 2016/6/10 - 21:12:2
234, 208, 210, 210, 208, 210, 214, 214, 210, 214, 225, 219, 210, 210, 213, 214, 208, 0, 216, 2016/6/10 - 21:12:3
234, 208, 210, 209, 207, 209, 213, 215, 210, 213, 226, 219, 210, 210, 213, 214, 208, 1, 429, 2016/6/10 - 21:12:3
234, 208, 210, 209, 208, 210, 213, 215, 209, 213, 226, 219, 210, 210, 213, 214, 208, 1, 218, 2016/6/10 - 21:12:3
234, 209, 210, 210, 208, 209, 214, 215, 210, 213, 226, 219, 211, 210, 213, 214, 208, 1, 217, 2016/6/10 - 21:12:3
234, 209, 211, 209, 208, 210, 214, 215, 210, 213, 226, 220, 211, 210, 214, 213, 208, 1, 218, 2016/6/10 - 21:12:4
234, 208, 211, 209, 208, 210, 214, 215, 210, 214, 226, 220, 210, 210, 213, 213, 208, 1, 214, 2016/6/10 - 21:12:4
234, 208, 211, 210, 208, 210, 214, 215, 210, 213, 225, 219, 210, 209, 213, 214, 208, 1, 216, 2016/6/10 - 21:12:4
234, 208, 210, 209, 208, 210, 214, 215, 210, 213, 226, 219, 210, 209, 213, 214, 208, 1, 211, 2016/6/10 - 21:12:4
234, 208, 210, 209, 208, 210, 214, 215, 210, 214, 226, 219, 211, 209, 213, 214, 208, 1, 213, 2016/6/10 - 21:12:4
234, 208, 210, 209, 207, 209, 213, 214, 209, 213, 225, 219, 210, 208, 213, 213, 207, 1, 831, 2016/6/10 - 21:12:5
234, 208, 210, 209, 207, 209, 213, 214, 209, 213, 225, 219, 210, 209, 213, 213, 207, 1, 626, 2016/6/10 - 21:12:6
234, 208, 210, 209, 208, 210, 214, 214, 210, 213, 225, 219, 210, 209, 213, 213, 207, 1, 625, 2016/6/10 - 21:12:7
234, 208, 210, 209, 207, 209, 214, 215, 209, 213, 225, 219, 210, 209, 213, 214, 207, 1, 212, 2016/6/10 - 21:12:7
234, 208, 210, 209, 208, 209, 214, 215, 210, 212, 225, 219, 210, 209, 213, 213, 207, 1, 414, 2016/6/10 - 21:12:7
234, 209, 210, 209, 208, 209, 214, 215, 210, 213, 225, 219, 210, 209, 213, 213, 207, 1, 214, 2016/6/10 - 21:12:7
234, 209, 210, 209, 208, 210, 214, 215, 210, 213, 225, 219, 211, 209, 213, 214, 208, 1, 217, 2016/6/10 - 21:12:8
234, 208, 210, 209, 208, 210, 214, 215, 210, 213, 226, 219, 211, 209, 213, 214, 207, 1, 216, 2016/6/10 - 21:12:8
234, 209, 210, 209, 208, 210, 214, 215, 210, 213, 225, 219, 210, 210, 213, 214, 207, 1, 217, 2016/6/10 - 21:12:8
234, 209, 210, 209, 208, 209, 214, 214, 209, 213, 225, 219, 210, 210, 213, 214, 208, 1, 211, 2016/6/10 - 21:12:8
234, 209, 210, 209, 208, 209, 214, 214, 210, 213, 225, 219, 210, 209, 213, 214, 208, 1, 210, 2016/6/10 - 21:12:8
234, 208, 210, 209, 208, 210, 214, 215, 210, 213, 225, 219, 210, 209, 213, 214, 208, 1, 415, 2016/6/10 - 21:12:9
234, 208, 210, 209, 207, 209, 213, 214, 209, 213, 225, 219, 210, 210, 213, 214, 207, 1, 212, 2016/6/10 - 21:12:9
234, 208, 210, 209, 208, 209, 213, 214, 209, 213, 225, 219, 210, 209, 213, 213, 207, 1, 824, 2016/6/10 - 21:12:10
234, 208, 210, 209, 208, 209, 213, 214, 210, 213, 225, 219, 210, 209, 213, 213, 207, 1, 214, 2016/6/10 - 21:12:10
