2016/6/10 - 23:57:20 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
230, 207, 207, 207, 206, 212, 212, 213, 210, 233, 252, 253, 228, 224, 242, 251, 233, 1, 2521, 2016/6/10 - 23:57:24
230, 208, 208, 207, 207, 212, 213, 214, 210, 233, 253, 253, 227, 224, 242, 251, 233, 1, 425, 2016/6/10 - 23:57:24
230, 207, 208, 207, 207, 213, 212, 214, 210, 234, 252, 252, 228, 224, 241, 251, 234, 1, 829, 2016/6/10 - 23:57:25
230, 207, 208, 207, 207, 213, 213, 214, 210, 233, 252, 252, 228, 224, 241, 251, 233, 1, 216, 2016/6/10 - 23:57:25
230, 208, 208, 208, 207, 212, 213, 214, 210, 233, 252, 252, 228, 224, 242, 251, 233, 1, 215, 2016/6/10 - 23:57:25
230, 208, 208, 208, 207, 212, 213, 214, 210, 233, 252, 252, 227, 224, 241, 251, 233, 1, 425, 2016/6/10 - 23:57:26
230, 207, 208, 208, 207, 213, 212, 214, 209, 233, 251, 251, 227, 223, 241, 251, 233, 1, 824, 2016/6/10 - 23:57:27
230, 207, 208, 208, 207, 213, 212, 214, 209, 233, 251, 251, 227, 224, 241, 251, 233, 1, 217, 2016/6/10 - 23:57:27
230, 207, 208, 207, 207, 212, 213, 214, 210, 232, 251, 251, 227, 224, 240, 251, 233, 1, 213, 2016/6/10 - 23:57:27
230, 207, 208, 207, 207, 212, 213, 214, 209, 232, 251, 251, 227, 223, 240, 250, 233, 1, 423, 2016/6/10 - 23:57:27
230, 207, 208, 207, 207, 212, 213, 214, 209, 232, 251, 251, 227, 223, 241, 250, 233, 1, 219, 2016/6/10 - 23:57:28
230, 207, 207, 208, 207, 213, 212, 214, 210, 232, 251, 251, 227, 224, 241, 250, 233, 1, 413, 2016/6/10 - 23:57:28
230, 207, 208, 208, 207, 213, 212, 213, 210, 232, 250, 251, 227, 224, 241, 250, 233, 1, 217, 2016/6/10 - 23:57:28
230, 207, 208, 208, 207, 213, 212, 214, 210, 232, 250, 251, 226, 224, 240, 250, 233, 1, 217, 2016/6/10 - 23:57:29
230, 207, 208, 208, 207, 213, 212, 214, 210, 232, 250, 251, 226, 224, 240, 250, 233, 1, 216, 2016/6/10 - 23:57:29
230, 207, 208, 207, 207, 212, 212, 213, 210, 232, 250, 251, 226, 223, 240, 250, 233, 1, 423, 2016/6/10 - 23:57:29
230, 208, 208, 208, 207, 212, 212, 213, 210, 232, 250, 250, 227, 224, 240, 250, 233, 1, 216, 2016/6/10 - 23:57:29
230, 207, 207, 207, 207, 211, 212, 213, 209, 231, 249, 250, 226, 223, 239, 249, 232, 1, 826, 2016/6/10 - 23:57:30
230, 207, 208, 208, 207, 212, 212, 213, 210, 231, 249, 250, 226, 223, 239, 248, 231, 1, 215, 2016/6/10 - 23:57:30
230, 207, 207, 207, 206, 212, 211, 213, 209, 230, 249, 249, 226, 223, 239, 249, 231, 1, 416, 2016/6/10 - 23:57:31
230, 206, 207, 207, 206, 211, 211, 213, 209, 230, 248, 249, 225, 222, 238, 247, 231, 1, 626, 2016/6/10 - 23:57:31
