2016/6/10 - 22:0:29 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
212, 205, 206, 206, 205, 207, 210, 212, 208, 212, 226, 227, 230, 206, 210, 222, 218, 1, 1995, 2016/6/10 - 22:0:31
212, 205, 206, 206, 205, 207, 210, 212, 207, 212, 226, 227, 230, 206, 210, 223, 218, 0, 218, 2016/6/10 - 22:0:32
212, 205, 206, 206, 205, 207, 210, 212, 208, 213, 226, 227, 230, 206, 210, 222, 218, 0, 221, 2016/6/10 - 22:0:32
212, 205, 206, 206, 205, 207, 210, 212, 208, 212, 227, 227, 230, 206, 210, 222, 217, 1, 215, 2016/6/10 - 22:0:32
212, 205, 206, 206, 205, 207, 210, 212, 207, 211, 226, 227, 230, 206, 210, 222, 217, 1, 217, 2016/6/10 - 22:0:32
212, 204, 206, 206, 204, 207, 210, 212, 207, 211, 225, 227, 229, 206, 210, 222, 217, 1, 1237, 2016/6/10 - 22:0:34
212, 204, 205, 206, 204, 207, 210, 212, 207, 211, 225, 227, 229, 206, 210, 222, 217, 1, 220, 2016/6/10 - 22:0:34
212, 204, 205, 205, 204, 206, 209, 212, 207, 212, 225, 227, 229, 206, 210, 222, 217, 1, 423, 2016/6/10 - 22:0:34
212, 204, 205, 205, 204, 206, 210, 212, 207, 211, 226, 227, 228, 205, 210, 222, 216, 1, 212, 2016/6/10 - 22:0:34
212, 205, 205, 205, 204, 207, 210, 211, 207, 211, 226, 227, 228, 206, 210, 222, 216, 1, 213, 2016/6/10 - 22:0:35
212, 204, 205, 205, 204, 206, 210, 211, 207, 211, 225, 226, 229, 206, 210, 222, 216, 1, 215, 2016/6/10 - 22:0:35
213, 205, 205, 205, 205, 207, 210, 212, 207, 211, 226, 227, 230, 206, 210, 222, 217, 1, 211, 2016/6/10 - 22:0:35
213, 206, 206, 206, 205, 207, 210, 212, 208, 212, 226, 228, 230, 206, 211, 223, 218, 1, 620, 2016/6/10 - 22:0:36
213, 205, 206, 206, 205, 207, 210, 212, 208, 212, 225, 227, 230, 206, 211, 222, 217, 1, 628, 2016/6/10 - 22:0:36
213, 205, 206, 206, 205, 207, 210, 211, 207, 211, 226, 227, 230, 206, 210, 222, 217, 1, 1031, 2016/6/10 - 22:0:37
