2016/6/26 - 19:22:3 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
251, 224, 226, 224, 225, 249, 233, 231, 227, 232, 237, 236, 234, 229, 233, 237, 236, 1, 2150, 2016/6/26 - 19:22:6
251, 225, 226, 224, 226, 248, 233, 231, 227, 232, 237, 236, 234, 229, 233, 237, 236, 1, 216, 2016/6/26 - 19:22:6
251, 225, 226, 224, 225, 249, 236, 231, 227, 233, 237, 236, 235, 229, 233, 237, 236, 1, 217, 2016/6/26 - 19:22:7
250, 226, 225, 223, 224, 252, 238, 231, 226, 232, 237, 235, 233, 229, 232, 236, 235, 1, 211, 2016/6/26 - 19:22:7
251, 237, 237, 223, 225, 251, 252, 234, 226, 231, 237, 235, 233, 228, 232, 235, 235, 1, 422, 2016/6/26 - 19:22:7
250, 224, 248, 234, 226, 233, 259, 248, 226, 231, 238, 236, 234, 228, 232, 236, 236, 1, 215, 2016/6/26 - 19:22:8
250, 224, 250, 230, 225, 232, 258, 248, 227, 230, 238, 236, 234, 228, 232, 236, 235, 1, 418, 2016/6/26 - 19:22:8
250, 224, 252, 227, 226, 232, 258, 246, 226, 231, 237, 236, 234, 228, 232, 236, 235, 1, 624, 2016/6/26 - 19:22:9
250, 224, 251, 227, 225, 232, 258, 247, 227, 231, 237, 236, 234, 228, 232, 236, 235, 1, 418, 2016/6/26 - 19:22:9
250, 224, 251, 227, 225, 232, 258, 247, 227, 231, 237, 236, 234, 228, 233, 236, 235, 1, 215, 2016/6/26 - 19:22:9
250, 224, 251, 227, 226, 233, 258, 247, 227, 231, 238, 236, 234, 229, 232, 236, 235, 1, 215, 2016/6/26 - 19:22:9
251, 225, 252, 227, 226, 233, 259, 247, 226, 231, 238, 237, 235, 229, 233, 236, 235, 1, 419, 2016/6/26 - 19:22:10
250, 224, 251, 226, 225, 232, 258, 246, 226, 230, 237, 236, 233, 228, 232, 236, 234, 1, 421, 2016/6/26 - 19:22:10
250, 224, 249, 226, 224, 232, 259, 245, 226, 230, 238, 236, 233, 228, 232, 235, 235, 1, 211, 2016/6/26 - 19:22:10
250, 225, 247, 225, 225, 233, 259, 244, 226, 230, 237, 235, 233, 228, 232, 236, 234, 1, 421, 2016/6/26 - 19:22:11
250, 225, 247, 225, 225, 233, 259, 244, 226, 230, 237, 235, 233, 228, 232, 236, 235, 1, 216, 2016/6/26 - 19:22:11
250, 226, 247, 226, 225, 233, 259, 244, 226, 231, 237, 236, 234, 228, 232, 236, 235, 1, 211, 2016/6/26 - 19:22:11
251, 226, 248, 226, 226, 234, 260, 245, 227, 231, 238, 236, 234, 228, 233, 236, 235, 1, 437, 2016/6/26 - 19:22:12
251, 226, 249, 227, 226, 235, 260, 246, 228, 232, 239, 237, 235, 230, 234, 237, 236, 0, 220, 2016/6/26 - 19:22:12
251, 226, 249, 228, 226, 235, 260, 247, 229, 232, 239, 238, 236, 231, 234, 238, 236, 1, 1034, 2016/6/26 - 19:22:13
251, 226, 249, 228, 226, 234, 260, 247, 228, 233, 239, 238, 235, 230, 234, 237, 236, 1, 215, 2016/6/26 - 19:22:13
251, 226, 248, 227, 226, 234, 260, 247, 227, 232, 238, 237, 234, 229, 234, 237, 236, 1, 214, 2016/6/26 - 19:22:13
251, 225, 248, 227, 225, 233, 260, 247, 227, 232, 238, 237, 234, 229, 233, 237, 235, 1, 211, 2016/6/26 - 19:22:14
251, 225, 248, 227, 225, 233, 260, 247, 227, 232, 238, 237, 234, 229, 232, 237, 235, 1, 215, 2016/6/26 - 19:22:14
251, 225, 248, 227, 226, 233, 260, 247, 227, 231, 238, 237, 234, 230, 233, 237, 235, 1, 210, 2016/6/26 - 19:22:14
251, 226, 248, 227, 226, 234, 260, 247, 227, 231, 238, 237, 234, 230, 233, 236, 236, 1, 210, 2016/6/26 - 19:22:14
251, 230, 248, 226, 225, 236, 259, 243, 227, 231, 238, 236, 234, 229, 233, 236, 235, 1, 620, 2016/6/26 - 19:22:15
251, 233, 250, 227, 227, 239, 260, 245, 228, 233, 239, 237, 235, 230, 234, 237, 237, 1, 619, 2016/6/26 - 19:22:16
251, 229, 256, 229, 227, 235, 260, 250, 229, 233, 239, 238, 236, 230, 235, 239, 238, 1, 227, 2016/6/26 - 19:22:16
251, 222, 225, 230, 250, 226, 232, 255, 256, 230, 237, 237, 235, 229, 232, 236, 235, 1, 625, 2016/6/26 - 19:22:16
251, 223, 225, 227, 250, 225, 230, 253, 256, 230, 237, 237, 235, 229, 232, 236, 235, 1, 211, 2016/6/26 - 19:22:17
251, 222, 224, 227, 250, 225, 229, 252, 254, 230, 236, 236, 234, 228, 231, 235, 234, 1, 420, 2016/6/26 - 19:22:17
251, 222, 224, 227, 251, 225, 230, 252, 254, 230, 236, 236, 234, 228, 231, 235, 234, 1, 213, 2016/6/26 - 19:22:17
251, 222, 225, 228, 250, 225, 230, 253, 254, 230, 236, 236, 235, 228, 232, 236, 235, 1, 209, 2016/6/26 - 19:22:17
251, 222, 225, 229, 249, 225, 230, 253, 255, 231, 236, 236, 235, 228, 232, 236, 235, 1, 215, 2016/6/26 - 19:22:18
251, 222, 224, 229, 249, 225, 230, 254, 255, 231, 236, 236, 235, 228, 232, 236, 235, 1, 210, 2016/6/26 - 19:22:18
251, 222, 224, 229, 253, 225, 230, 253, 255, 230, 236, 237, 235, 229, 232, 236, 235, 1, 619, 2016/6/26 - 19:22:19
251, 222, 225, 235, 251, 226, 231, 254, 252, 231, 237, 237, 235, 229, 232, 236, 235, 1, 1038, 2016/6/26 - 19:22:20
251, 222, 225, 233, 252, 226, 232, 255, 253, 231, 237, 237, 235, 229, 233, 236, 236, 1, 209, 2016/6/26 - 19:22:20
251, 223, 226, 232, 253, 226, 232, 255, 253, 230, 237, 238, 235, 229, 233, 237, 236, 1, 416, 2016/6/26 - 19:22:20
251, 222, 226, 237, 254, 226, 232, 257, 254, 231, 237, 237, 235, 229, 233, 236, 236, 1, 1026, 2016/6/26 - 19:22:21
251, 223, 226, 241, 258, 225, 231, 248, 241, 230, 237, 236, 235, 228, 232, 237, 235, 1, 412, 2016/6/26 - 19:22:22
251, 222, 226, 247, 261, 226, 230, 237, 229, 230, 237, 236, 235, 229, 232, 236, 235, 1, 412, 2016/6/26 - 19:22:22
251, 222, 225, 246, 256, 226, 230, 234, 228, 230, 237, 235, 235, 228, 232, 236, 235, 1, 210, 2016/6/26 - 19:22:22
251, 223, 225, 245, 252, 226, 230, 233, 228, 231, 237, 236, 234, 229, 233, 236, 235, 1, 209, 2016/6/26 - 19:22:22
251, 223, 225, 245, 249, 226, 230, 232, 228, 230, 236, 236, 234, 229, 233, 236, 235, 1, 213, 2016/6/26 - 19:22:23
251, 222, 226, 247, 247, 226, 230, 232, 228, 230, 236, 236, 234, 229, 233, 237, 235, 1, 212, 2016/6/26 - 19:22:23
251, 223, 226, 248, 247, 226, 229, 233, 228, 231, 237, 236, 235, 228, 232, 236, 236, 1, 422, 2016/6/26 - 19:22:23
251, 222, 226, 248, 247, 226, 230, 233, 228, 230, 236, 236, 234, 228, 232, 236, 236, 1, 211, 2016/6/26 - 19:22:23
251, 222, 226, 249, 247, 226, 229, 232, 227, 230, 236, 235, 234, 228, 232, 236, 235, 1, 613, 2016/6/26 - 19:22:24
251, 222, 226, 250, 248, 226, 229, 233, 227, 231, 237, 236, 234, 229, 232, 236, 235, 1, 208, 2016/6/26 - 19:22:24
251, 223, 226, 250, 249, 225, 229, 232, 227, 230, 236, 236, 234, 228, 232, 236, 235, 1, 619, 2016/6/26 - 19:22:25
251, 223, 226, 250, 249, 225, 229, 233, 227, 230, 236, 236, 234, 228, 232, 236, 235, 1, 208, 2016/6/26 - 19:22:25
251, 223, 226, 250, 249, 225, 229, 233, 228, 230, 236, 236, 234, 229, 232, 236, 235, 1, 211, 2016/6/26 - 19:22:25
251, 223, 226, 251, 249, 226, 229, 233, 228, 231, 236, 236, 234, 229, 232, 236, 235, 1, 620, 2016/6/26 - 19:22:26
251, 223, 226, 253, 248, 226, 229, 233, 228, 231, 237, 236, 234, 229, 232, 237, 235, 1, 209, 2016/6/26 - 19:22:26
251, 223, 226, 249, 248, 226, 229, 233, 228, 231, 236, 236, 234, 229, 232, 236, 236, 1, 413, 2016/6/26 - 19:22:27
251, 224, 227, 249, 249, 226, 229, 233, 228, 231, 236, 236, 234, 229, 232, 237, 236, 1, 213, 2016/6/26 - 19:22:27
251, 224, 227, 250, 249, 226, 229, 233, 228, 231, 237, 237, 235, 229, 233, 237, 236, 1, 212, 2016/6/26 - 19:22:27
251, 224, 227, 250, 249, 226, 230, 233, 228, 231, 237, 237, 234, 229, 232, 237, 236, 1, 211, 2016/6/26 - 19:22:27
251, 223, 227, 253, 249, 226, 230, 233, 228, 231, 237, 237, 235, 230, 234, 237, 236, 1, 207, 2016/6/26 - 19:22:27
252, 229, 254, 251, 227, 226, 232, 233, 227, 230, 236, 236, 234, 228, 232, 236, 235, 1, 1636, 2016/6/26 - 19:22:29
251, 237, 255, 232, 222, 224, 229, 229, 224, 228, 234, 233, 231, 226, 229, 233, 232, 1, 830, 2016/6/26 - 19:22:30
251, 235, 254, 234, 223, 224, 230, 230, 225, 228, 234, 233, 231, 226, 230, 234, 232, 1, 208, 2016/6/26 - 19:22:30
251, 234, 253, 235, 224, 224, 230, 231, 225, 229, 234, 234, 232, 226, 231, 234, 233, 1, 211, 2016/6/26 - 19:22:30
251, 238, 254, 230, 225, 225, 230, 231, 226, 230, 236, 235, 233, 228, 232, 235, 235, 1, 1641, 2016/6/26 - 19:22:32
251, 238, 254, 230, 225, 226, 231, 231, 226, 229, 236, 236, 234, 229, 232, 237, 235, 1, 215, 2016/6/26 - 19:22:32
251, 238, 255, 231, 226, 226, 231, 231, 226, 229, 236, 236, 235, 228, 232, 236, 235, 1, 210, 2016/6/26 - 19:22:32
251, 237, 254, 230, 225, 225, 230, 230, 226, 229, 235, 235, 233, 227, 231, 235, 234, 1, 617, 2016/6/26 - 19:22:33
251, 238, 254, 231, 225, 225, 230, 231, 226, 230, 235, 235, 233, 228, 232, 236, 235, 1, 828, 2016/6/26 - 19:22:34
251, 238, 255, 233, 225, 226, 230, 231, 226, 230, 236, 236, 233, 228, 232, 236, 235, 1, 212, 2016/6/26 - 19:22:34
251, 238, 255, 234, 226, 226, 231, 231, 226, 230, 236, 236, 233, 229, 232, 236, 235, 1, 209, 2016/6/26 - 19:22:34
251, 235, 257, 235, 226, 226, 231, 231, 226, 230, 236, 236, 234, 229, 232, 237, 235, 1, 411, 2016/6/26 - 19:22:35
251, 235, 256, 235, 226, 226, 231, 232, 226, 230, 236, 236, 234, 229, 232, 237, 235, 1, 212, 2016/6/26 - 19:22:35
251, 239, 257, 234, 226, 227, 231, 232, 226, 230, 237, 236, 234, 229, 233, 237, 236, 1, 210, 2016/6/26 - 19:22:35
251, 246, 256, 230, 226, 227, 231, 232, 226, 231, 236, 236, 234, 229, 233, 237, 236, 1, 212, 2016/6/26 - 19:22:35
251, 255, 246, 226, 226, 229, 232, 232, 226, 231, 236, 236, 234, 229, 233, 237, 236, 1, 212, 2016/6/26 - 19:22:36
