2016/9/5 - 23:12:0 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
278, 257, 260, 261, 261, 258, 263, 265, 261, 262, 265, 265, 263, 261, 263, 263, 262, 1, 3420, 2016/9/5 - 23:12:4
277, 256, 259, 260, 259, 258, 262, 265, 260, 261, 264, 264, 263, 260, 262, 263, 262, 1, 642, 2016/9/5 - 23:12:5
278, 257, 260, 261, 261, 258, 262, 266, 261, 263, 265, 266, 263, 261, 262, 263, 262, 1, 423, 2016/9/5 - 23:12:5
278, 257, 260, 261, 260, 259, 262, 266, 261, 263, 265, 265, 263, 262, 263, 264, 263, 1, 417, 2016/9/5 - 23:12:6
278, 257, 260, 261, 261, 259, 263, 266, 261, 263, 266, 266, 263, 261, 263, 263, 263, 1, 216, 2016/9/5 - 23:12:6
278, 258, 260, 261, 262, 259, 262, 266, 261, 263, 265, 265, 263, 261, 263, 264, 263, 1, 424, 2016/9/5 - 23:12:6
277, 256, 259, 260, 260, 258, 262, 265, 260, 261, 264, 264, 263, 261, 262, 263, 262, 1, 626, 2016/9/5 - 23:12:7
278, 257, 260, 261, 261, 259, 262, 265, 261, 262, 266, 265, 263, 261, 263, 263, 263, 1, 216, 2016/9/5 - 23:12:7
278, 257, 260, 261, 261, 259, 263, 265, 261, 263, 265, 265, 263, 261, 263, 264, 263, 1, 215, 2016/9/5 - 23:12:7
278, 257, 260, 261, 260, 258, 262, 265, 261, 262, 265, 264, 263, 261, 263, 263, 262, 1, 833, 2016/9/5 - 23:12:8
278, 256, 260, 260, 261, 258, 262, 265, 261, 262, 265, 264, 263, 260, 263, 263, 262, 1, 625, 2016/9/5 - 23:12:9
278, 257, 260, 260, 261, 259, 262, 265, 261, 262, 265, 265, 263, 261, 263, 263, 262, 1, 423, 2016/9/5 - 23:12:9
278, 257, 260, 260, 261, 259, 262, 265, 261, 262, 265, 265, 263, 262, 263, 263, 262, 1, 212, 2016/9/5 - 23:12:9
278, 256, 260, 260, 261, 259, 262, 265, 261, 261, 265, 265, 263, 261, 262, 263, 263, 1, 424, 2016/9/5 - 23:12:10
278, 257, 260, 260, 261, 259, 263, 265, 261, 261, 265, 264, 263, 261, 262, 263, 263, 1, 212, 2016/9/5 - 23:12:10
278, 257, 260, 260, 260, 258, 262, 265, 260, 261, 265, 265, 263, 261, 262, 263, 262, 1, 215, 2016/9/5 - 23:12:10
278, 257, 260, 261, 261, 259, 262, 265, 261, 262, 265, 265, 263, 261, 262, 264, 262, 1, 215, 2016/9/5 - 23:12:10
278, 257, 260, 261, 261, 259, 262, 265, 261, 262, 265, 264, 263, 261, 263, 264, 263, 1, 216, 2016/9/5 - 23:12:11
278, 257, 260, 261, 260, 258, 262, 265, 261, 262, 265, 264, 263, 260, 263, 264, 263, 1, 217, 2016/9/5 - 23:12:11
278, 257, 260, 260, 261, 259, 263, 265, 261, 261, 265, 264, 263, 261, 262, 263, 262, 0, 419, 2016/9/5 - 23:12:11
278, 256, 258, 259, 260, 258, 262, 265, 260, 261, 264, 264, 262, 260, 261, 262, 261, 1, 422, 2016/9/5 - 23:12:12
278, 256, 260, 261, 261, 259, 262, 265, 261, 261, 265, 264, 263, 261, 263, 263, 262, 1, 422, 2016/9/5 - 23:12:12
278, 257, 260, 260, 260, 258, 262, 265, 261, 262, 265, 264, 263, 261, 262, 263, 263, 1, 829, 2016/9/5 - 23:12:13
277, 256, 259, 260, 259, 257, 261, 265, 260, 261, 264, 264, 262, 261, 262, 263, 262, 1, 215, 2016/9/5 - 23:12:13
278, 256, 260, 260, 261, 258, 261, 265, 260, 262, 265, 264, 263, 260, 262, 263, 262, 1, 622, 2016/9/5 - 23:12:14
277, 255, 259, 260, 260, 258, 262, 265, 260, 261, 264, 264, 262, 260, 261, 262, 262, 1, 214, 2016/9/5 - 23:12:14
278, 256, 259, 260, 260, 258, 262, 265, 260, 261, 264, 264, 262, 260, 261, 262, 262, 1, 220, 2016/9/5 - 23:12:14
277, 256, 259, 260, 260, 257, 261, 264, 259, 261, 264, 264, 263, 261, 261, 262, 262, 1, 211, 2016/9/5 - 23:12:14
278, 256, 259, 260, 259, 257, 261, 265, 260, 262, 264, 264, 263, 261, 261, 262, 261, 1, 211, 2016/9/5 - 23:12:15
278, 257, 259, 260, 260, 258, 261, 265, 260, 262, 264, 264, 263, 261, 262, 263, 262, 1, 211, 2016/9/5 - 23:12:15
278, 256, 259, 259, 259, 258, 260, 264, 259, 261, 264, 263, 261, 260, 261, 262, 261, 0, 623, 2016/9/5 - 23:12:15
278, 257, 260, 260, 260, 258, 262, 265, 260, 262, 265, 265, 263, 261, 262, 263, 262, 1, 829, 2016/9/5 - 23:12:16
278, 257, 260, 261, 260, 258, 262, 265, 261, 262, 265, 265, 263, 261, 262, 263, 262, 1, 210, 2016/9/5 - 23:12:17
278, 257, 260, 261, 261, 258, 262, 265, 261, 262, 265, 265, 263, 261, 262, 263, 263, 1, 213, 2016/9/5 - 23:12:17
278, 257, 260, 261, 260, 258, 262, 265, 261, 262, 265, 264, 263, 261, 263, 263, 263, 1, 619, 2016/9/5 - 23:12:17
278, 257, 260, 261, 261, 258, 262, 265, 261, 262, 265, 264, 263, 261, 263, 263, 263, 1, 211, 2016/9/5 - 23:12:18
278, 257, 261, 260, 260, 258, 262, 265, 261, 263, 265, 265, 263, 261, 263, 263, 263, 1, 616, 2016/9/5 - 23:12:18
278, 257, 260, 260, 260, 259, 263, 266, 261, 262, 265, 264, 263, 261, 263, 263, 263, 1, 210, 2016/9/5 - 23:12:18
278, 256, 260, 261, 260, 259, 263, 266, 261, 262, 265, 264, 263, 261, 263, 264, 263, 1, 209, 2016/9/5 - 23:12:19
278, 256, 260, 260, 260, 259, 262, 265, 261, 262, 265, 264, 263, 261, 263, 263, 263, 1, 208, 2016/9/5 - 23:12:19
278, 257, 260, 260, 260, 259, 262, 265, 261, 262, 265, 264, 263, 262, 263, 263, 263, 1, 215, 2016/9/5 - 23:12:19
278, 257, 260, 260, 260, 259, 263, 265, 261, 262, 265, 264, 263, 261, 262, 263, 262, 1, 415, 2016/9/5 - 23:12:19
278, 257, 260, 261, 260, 258, 262, 265, 261, 262, 265, 264, 263, 261, 262, 263, 262, 1, 213, 2016/9/5 - 23:12:20
278, 257, 260, 260, 260, 258, 262, 265, 261, 262, 265, 265, 263, 261, 262, 263, 262, 1, 210, 2016/9/5 - 23:12:20
278, 257, 260, 259, 260, 258, 262, 265, 261, 262, 265, 264, 262, 261, 262, 263, 262, 1, 210, 2016/9/5 - 23:12:20
278, 257, 259, 259, 260, 258, 262, 265, 261, 262, 265, 264, 262, 261, 262, 263, 262, 1, 210, 2016/9/5 - 23:12:20
278, 256, 259, 260, 260, 258, 261, 265, 260, 262, 265, 264, 263, 260, 262, 263, 262, 1, 209, 2016/9/5 - 23:12:21
278, 256, 259, 260, 260, 258, 262, 264, 261, 261, 265, 264, 262, 260, 262, 263, 263, 1, 214, 2016/9/5 - 23:12:21
278, 256, 259, 260, 260, 258, 262, 265, 261, 261, 264, 264, 262, 261, 262, 263, 263, 1, 213, 2016/9/5 - 23:12:21
278, 256, 259, 260, 260, 258, 261, 265, 260, 262, 264, 264, 263, 261, 262, 263, 263, 1, 209, 2016/9/5 - 23:12:21
278, 256, 259, 260, 260, 258, 261, 265, 260, 262, 265, 264, 262, 261, 261, 263, 262, 1, 210, 2016/9/5 - 23:12:21
278, 256, 260, 260, 260, 258, 261, 265, 260, 261, 265, 264, 262, 261, 262, 263, 262, 1, 622, 2016/9/5 - 23:12:22
278, 257, 259, 261, 260, 258, 261, 265, 260, 261, 265, 264, 263, 262, 262, 263, 262, 1, 418, 2016/9/5 - 23:12:22
278, 256, 260, 260, 260, 258, 262, 265, 261, 262, 265, 265, 263, 261, 262, 263, 262, 1, 1032, 2016/9/5 - 23:12:23
278, 256, 260, 260, 261, 258, 262, 265, 261, 262, 265, 264, 263, 261, 262, 263, 262, 1, 211, 2016/9/5 - 23:12:24
278, 256, 260, 260, 260, 258, 261, 265, 260, 262, 265, 264, 263, 261, 262, 263, 263, 1, 1024, 2016/9/5 - 23:12:25
278, 256, 260, 260, 260, 258, 262, 265, 260, 262, 265, 264, 263, 261, 263, 263, 263, 1, 413, 2016/9/5 - 23:12:25
278, 257, 259, 260, 260, 258, 262, 265, 261, 262, 266, 265, 263, 261, 262, 263, 263, 0, 213, 2016/9/5 - 23:12:25
278, 257, 259, 260, 260, 258, 262, 265, 260, 262, 266, 265, 263, 261, 262, 263, 263, 1, 207, 2016/9/5 - 23:12:25
2016/9/5 - 23:12:26 END OF FILE
