2016/9/5 - 23:17:13 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
277, 257, 259, 260, 260, 259, 264, 265, 262, 270, 272, 274, 291, 269, 269, 276, 283, 1, 1977, 2016/9/5 - 23:17:16
277, 257, 259, 260, 260, 260, 264, 265, 262, 270, 272, 274, 291, 269, 269, 276, 283, 1, 221, 2016/9/5 - 23:17:16
277, 258, 259, 260, 261, 260, 264, 265, 262, 270, 272, 274, 291, 269, 270, 276, 284, 1, 216, 2016/9/5 - 23:17:16
277, 257, 259, 260, 260, 259, 263, 265, 262, 270, 272, 273, 291, 268, 269, 276, 283, 1, 620, 2016/9/5 - 23:17:17
277, 257, 258, 260, 259, 259, 263, 264, 261, 270, 272, 274, 291, 268, 269, 276, 283, 1, 618, 2016/9/5 - 23:17:17
277, 257, 259, 259, 260, 259, 263, 265, 262, 269, 272, 274, 291, 268, 269, 276, 283, 1, 215, 2016/9/5 - 23:17:17
277, 257, 259, 260, 259, 259, 263, 265, 261, 270, 272, 274, 291, 268, 269, 276, 283, 1, 418, 2016/9/5 - 23:17:18
277, 257, 259, 260, 261, 260, 264, 265, 261, 270, 272, 274, 291, 268, 269, 276, 283, 1, 212, 2016/9/5 - 23:17:18
278, 257, 260, 260, 261, 260, 264, 265, 262, 270, 272, 275, 291, 269, 270, 276, 284, 1, 625, 2016/9/5 - 23:17:19
278, 258, 260, 261, 261, 260, 264, 266, 263, 271, 273, 275, 292, 269, 271, 277, 285, 1, 216, 2016/9/5 - 23:17:19
277, 257, 260, 260, 261, 260, 264, 265, 263, 270, 273, 274, 291, 269, 270, 276, 284, 1, 831, 2016/9/5 - 23:17:20
277, 258, 260, 260, 261, 260, 264, 265, 263, 270, 273, 274, 291, 269, 270, 276, 284, 1, 624, 2016/9/5 - 23:17:20
277, 258, 260, 260, 261, 260, 264, 265, 263, 270, 273, 275, 291, 269, 270, 277, 284, 1, 213, 2016/9/5 - 23:17:21
277, 258, 260, 260, 261, 260, 265, 265, 263, 270, 273, 275, 291, 269, 270, 277, 284, 1, 212, 2016/9/5 - 23:17:21
277, 258, 260, 260, 261, 259, 264, 265, 263, 270, 272, 274, 291, 269, 270, 276, 284, 1, 212, 2016/9/5 - 23:17:21
278, 259, 261, 261, 261, 260, 264, 265, 263, 271, 273, 275, 291, 268, 270, 276, 284, 1, 217, 2016/9/5 - 23:17:21
277, 257, 260, 260, 261, 259, 264, 265, 262, 269, 273, 275, 292, 269, 269, 276, 283, 0, 420, 2016/9/5 - 23:17:22
278, 258, 260, 261, 261, 260, 264, 265, 263, 270, 273, 274, 291, 269, 270, 277, 284, 1, 217, 2016/9/5 - 23:17:22
277, 258, 260, 261, 261, 261, 265, 266, 262, 270, 273, 275, 291, 269, 271, 277, 284, 1, 220, 2016/9/5 - 23:17:22
277, 257, 260, 261, 261, 260, 264, 266, 263, 270, 273, 275, 291, 268, 270, 276, 283, 1, 419, 2016/9/5 - 23:17:23
277, 258, 260, 260, 260, 260, 263, 265, 262, 270, 272, 274, 291, 268, 270, 276, 283, 1, 215, 2016/9/5 - 23:17:23
277, 258, 260, 260, 261, 260, 263, 265, 262, 270, 272, 274, 291, 269, 270, 276, 284, 1, 214, 2016/9/5 - 23:17:23
277, 257, 259, 260, 261, 259, 264, 265, 263, 270, 272, 274, 291, 268, 270, 276, 284, 1, 212, 2016/9/5 - 23:17:23
277, 257, 260, 260, 260, 260, 263, 265, 262, 270, 272, 274, 291, 269, 269, 276, 283, 1, 424, 2016/9/5 - 23:17:24
277, 257, 259, 260, 260, 260, 263, 265, 262, 270, 272, 274, 291, 268, 270, 276, 284, 1, 416, 2016/9/5 - 23:17:24
277, 257, 260, 260, 261, 259, 264, 265, 263, 270, 272, 274, 292, 269, 270, 276, 283, 1, 420, 2016/9/5 - 23:17:24
277, 257, 260, 260, 261, 259, 264, 265, 265, 270, 273, 274, 292, 269, 270, 276, 284, 1, 213, 2016/9/5 - 23:17:25
278, 258, 260, 260, 261, 260, 264, 265, 268, 270, 273, 274, 292, 269, 270, 277, 284, 1, 623, 2016/9/5 - 23:17:25
278, 259, 260, 261, 263, 261, 265, 266, 268, 271, 274, 275, 292, 270, 271, 278, 285, 1, 210, 2016/9/5 - 23:17:25
278, 258, 261, 261, 262, 260, 265, 266, 269, 271, 274, 275, 292, 269, 271, 277, 285, 1, 623, 2016/9/5 - 23:17:26
278, 259, 261, 261, 262, 261, 265, 266, 269, 271, 274, 276, 292, 269, 271, 277, 285, 1, 209, 2016/9/5 - 23:17:26
278, 259, 261, 261, 262, 260, 265, 266, 269, 271, 274, 276, 291, 269, 271, 277, 285, 1, 212, 2016/9/5 - 23:17:27
278, 259, 261, 261, 261, 260, 264, 266, 269, 270, 273, 275, 291, 269, 270, 278, 284, 1, 420, 2016/9/5 - 23:17:27
277, 257, 259, 259, 260, 259, 263, 265, 269, 269, 272, 274, 290, 268, 269, 276, 284, 1, 213, 2016/9/5 - 23:17:27
277, 257, 259, 260, 261, 259, 263, 265, 269, 269, 271, 274, 289, 268, 269, 276, 283, 1, 212, 2016/9/5 - 23:17:27
277, 256, 259, 259, 260, 259, 263, 265, 269, 269, 271, 274, 289, 268, 269, 276, 283, 1, 417, 2016/9/5 - 23:17:28
277, 257, 258, 260, 260, 259, 263, 265, 270, 269, 272, 274, 289, 269, 270, 276, 283, 1, 214, 2016/9/5 - 23:17:28
277, 257, 259, 260, 260, 259, 263, 265, 270, 269, 272, 274, 289, 268, 269, 276, 283, 1, 623, 2016/9/5 - 23:17:29
277, 257, 259, 260, 261, 259, 263, 265, 270, 269, 272, 274, 289, 268, 269, 276, 283, 1, 414, 2016/9/5 - 23:17:29
277, 257, 259, 260, 261, 260, 263, 265, 270, 270, 272, 274, 289, 268, 269, 276, 283, 1, 208, 2016/9/5 - 23:17:29
277, 257, 259, 260, 260, 260, 263, 265, 271, 270, 272, 274, 289, 269, 270, 277, 283, 1, 213, 2016/9/5 - 23:17:29
277, 257, 259, 260, 261, 259, 263, 265, 270, 269, 272, 274, 290, 268, 270, 276, 283, 1, 217, 2016/9/5 - 23:17:30
278, 258, 260, 261, 262, 260, 264, 265, 269, 270, 273, 274, 290, 268, 270, 277, 284, 1, 213, 2016/9/5 - 23:17:30
277, 258, 261, 261, 261, 260, 263, 265, 270, 271, 273, 274, 289, 268, 270, 277, 284, 1, 213, 2016/9/5 - 23:17:30
277, 257, 259, 260, 261, 259, 263, 265, 268, 270, 272, 274, 289, 268, 269, 276, 283, 1, 421, 2016/9/5 - 23:17:31
277, 257, 259, 260, 260, 259, 264, 265, 268, 270, 272, 274, 289, 269, 270, 277, 284, 1, 210, 2016/9/5 - 23:17:31
277, 257, 259, 260, 260, 259, 264, 265, 268, 270, 272, 274, 289, 269, 270, 277, 283, 1, 208, 2016/9/5 - 23:17:31
277, 257, 259, 260, 260, 259, 264, 265, 268, 270, 272, 274, 289, 268, 270, 277, 284, 1, 214, 2016/9/5 - 23:17:31
277, 257, 259, 260, 261, 259, 264, 265, 268, 270, 272, 274, 289, 268, 270, 277, 284, 1, 210, 2016/9/5 - 23:17:31
277, 257, 259, 260, 261, 259, 263, 265, 268, 270, 272, 274, 288, 267, 269, 277, 283, 1, 210, 2016/9/5 - 23:17:32
277, 256, 259, 260, 260, 259, 263, 265, 268, 269, 272, 274, 288, 267, 269, 277, 283, 1, 213, 2016/9/5 - 23:17:32
277, 257, 259, 260, 260, 259, 264, 265, 268, 270, 272, 274, 289, 268, 270, 277, 283, 1, 626, 2016/9/5 - 23:17:32
277, 257, 259, 260, 260, 259, 263, 265, 268, 269, 272, 274, 288, 268, 269, 276, 283, 1, 417, 2016/9/5 - 23:17:33
277, 257, 259, 260, 260, 259, 262, 265, 268, 270, 272, 273, 288, 268, 269, 276, 283, 1, 615, 2016/9/5 - 23:17:33
277, 257, 259, 259, 260, 259, 263, 265, 268, 269, 272, 273, 288, 268, 269, 276, 283, 1, 420, 2016/9/5 - 23:17:34
277, 257, 259, 260, 260, 259, 263, 265, 268, 270, 272, 273, 288, 268, 269, 277, 283, 0, 209, 2016/9/5 - 23:17:34
277, 257, 259, 260, 260, 259, 263, 265, 268, 269, 272, 274, 288, 268, 269, 277, 283, 1, 209, 2016/9/5 - 23:17:34
277, 257, 259, 260, 260, 259, 263, 265, 268, 270, 272, 274, 288, 268, 269, 277, 283, 1, 210, 2016/9/5 - 23:17:34
277, 257, 259, 260, 260, 259, 263, 265, 268, 270, 272, 274, 288, 268, 269, 277, 284, 1, 214, 2016/9/5 - 23:17:35
277, 257, 259, 260, 260, 259, 263, 264, 268, 270, 272, 273, 288, 268, 269, 277, 284, 1, 212, 2016/9/5 - 23:17:35
278, 257, 259, 260, 260, 259, 263, 265, 269, 271, 272, 274, 288, 268, 269, 277, 284, 1, 211, 2016/9/5 - 23:17:35
277, 257, 258, 259, 259, 259, 262, 264, 267, 269, 272, 273, 288, 267, 269, 276, 282, 1, 417, 2016/9/5 - 23:17:36
277, 257, 258, 259, 260, 259, 263, 265, 268, 269, 272, 273, 288, 267, 269, 276, 283, 1, 425, 2016/9/5 - 23:17:36
277, 257, 259, 260, 260, 259, 263, 265, 268, 270, 272, 274, 289, 268, 269, 277, 283, 1, 1028, 2016/9/5 - 23:17:37
277, 257, 259, 260, 260, 259, 263, 266, 268, 270, 273, 274, 288, 268, 270, 277, 283, 1, 412, 2016/9/5 - 23:17:37
277, 257, 259, 260, 261, 259, 264, 269, 264, 270, 273, 279, 288, 268, 270, 277, 284, 1, 417, 2016/9/5 - 23:17:38
277, 257, 259, 260, 261, 260, 264, 269, 263, 270, 272, 278, 288, 268, 270, 277, 285, 1, 214, 2016/9/5 - 23:17:38
278, 258, 259, 261, 261, 260, 264, 268, 263, 270, 273, 279, 288, 268, 270, 279, 289, 1, 418, 2016/9/5 - 23:17:38
277, 258, 260, 261, 260, 259, 264, 266, 262, 269, 272, 280, 287, 269, 270, 280, 291, 1, 210, 2016/9/5 - 23:17:39
277, 257, 259, 260, 260, 259, 263, 265, 262, 268, 272, 284, 288, 268, 268, 283, 283, 1, 1026, 2016/9/5 - 23:17:40
277, 258, 259, 260, 261, 260, 264, 266, 263, 270, 272, 283, 288, 268, 270, 285, 285, 1, 412, 2016/9/5 - 23:17:40
278, 258, 260, 261, 260, 260, 264, 265, 263, 271, 273, 284, 288, 268, 269, 284, 285, 1, 211, 2016/9/5 - 23:17:40
278, 258, 260, 261, 261, 260, 264, 266, 263, 271, 273, 284, 289, 269, 270, 284, 287, 1, 207, 2016/9/5 - 23:17:41
277, 257, 259, 260, 260, 259, 264, 266, 263, 270, 272, 282, 288, 268, 270, 284, 289, 1, 209, 2016/9/5 - 23:17:41
278, 258, 261, 261, 261, 260, 264, 266, 263, 269, 273, 282, 287, 269, 274, 290, 293, 1, 212, 2016/9/5 - 23:17:41
277, 258, 260, 260, 260, 259, 264, 264, 262, 268, 271, 275, 284, 268, 273, 286, 294, 1, 417, 2016/9/5 - 23:17:41
278, 257, 260, 260, 261, 260, 264, 265, 263, 267, 271, 276, 284, 267, 273, 284, 296, 1, 417, 2016/9/5 - 23:17:42
